pl_name,hostname,discoverymethod,disc_year,pl_dens_source,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_met,sy_pnum,pl_rade_was_imputed,pl_bmasse_was_imputed,pl_dens_was_imputed,pl_orbper_was_imputed,pl_orbsmax_was_imputed,pl_orbeccen_was_imputed,st_teff_was_imputed,st_met_was_imputed,sy_pnum_was_imputed,complete_case_before_imputation,any_feature_was_imputed,imputation_method
11 Com b,11 Com,Radial Velocity,2007.0,derived_from_pl_bmasse_pl_rade,12.2,4914.898485849997,14.924569815852927,323.20999999999987,1.1779999999999997,0.238,4874.0,-0.26,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
11 UMi b,11 UMi,Radial Velocity,2009.0,derived_from_pl_bmasse_pl_rade,12.300000000000004,4684.814200000001,13.881736576982659,516.2199700000001,1.5300000000000002,0.08,4213.0,-0.02,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
14 And b,14 And,Radial Velocity,2008.0,derived_from_pl_bmasse_pl_rade,13.099999999999998,1131.1513005099996,2.774428735763873,186.75999999999996,0.7750000000000004,0.0,4888.0,-0.21000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
14 Her b,14 Her,Radial Velocity,2002.0,derived_from_pl_bmasse_pl_rade,12.500000000000002,2828.6728222999996,7.985818594387046,1766.4099999999999,2.839,0.3683,5338.0,0.43,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
16 Cyg B b,16 Cyg B,Radial Velocity,1996.0,derived_from_pl_bmasse_pl_rade,13.5,565.7374000000008,1.2678864090230149,798.5,1.6599999999999997,0.68,5750.0,0.06,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
17 Sco b,17 Sco,Radial Velocity,2020.0,derived_from_pl_bmasse_pl_rade,12.900000000000002,1373.0187182400007,3.526745239937112,578.3800000000001,1.4499999999999997,0.06,4157.0,-0.010000000000000002,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
18 Del b,18 Del,Radial Velocity,2008.0,derived_from_pl_bmasse_pl_rade,12.500000000000002,2926.2461432500013,8.261284471746816,982.8500000000004,2.476,0.024,4980.0,-0.06,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
1RXS J160929.1-210524 b,1RXS J160929.1-210524,Imaging,2008.0,derived_from_pl_bmasse_pl_rade,18.647000000000006,3000.0000000000014,2.551297503145835,60.12674393655508,329.9999999999997,0.34236864008030576,4060.0,-0.11562343908114657,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
24 Boo b,24 Boo,Radial Velocity,2018.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,280.6424833800001,0.576203345804941,30.330000000000002,0.19399999999999998,0.032,4816.0,-0.78,1.0,False,False,False,False,False,False,False,False,False,True,False,knn
24 Sex b,24 Sex,Radial Velocity,2010.0,derived_from_pl_bmasse_pl_rade,13.400000000000002,632.46,1.4493905666587978,452.80000000000024,1.3330000000000002,0.09,5098.0,-0.030000000000000002,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
24 Sex c,24 Sex,Radial Velocity,2010.0,derived_from_pl_bmasse_pl_rade,13.900000000000004,273.32000000000005,0.5611691308409719,882.9999999999991,2.0799999999999996,0.29,5098.0,-0.030000000000000002,2.0,False,False,False,False,False,False,False,False,False,True,False,knn
2M0437 b,2MASS J04372171+2651014,Imaging,2021.0,derived_from_pl_bmasse_pl_rade,12.999999999999998,1271.313628,3.1907252365917165,198.63637762942784,118.00000000000003,0.4477438730354665,3100.0,0.01,1.0,False,False,False,True,False,True,False,False,False,False,True,knn
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,Imaging,2013.0,derived_from_pl_bmasse_pl_rade,12.300000000000004,4131.789999999998,12.243051255140749,39.93254406466371,83.99999999999999,0.3206039814846886,3833.127326450053,-0.136098569523801,1.0,False,False,False,True,False,True,True,True,False,False,True,knn
2MASS J01225093-2439505 b,2MASS J01225093-2439505,Imaging,2013.0,derived_from_pl_bmasse_pl_rade,11.208999999999998,7786.499999999996,30.486561361582666,1015.5475081037206,51.99999999999998,0.4944339553966073,3530.0,-0.06434058395659084,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J02192210-3925225 b,2MASS J02192210-3925225,Imaging,2015.0,derived_from_pl_bmasse_pl_rade,16.140960000000003,4417.8369999999995,5.792797754743379,22633.121796108546,155.99999999999986,0.5480660236396756,3064.0,-0.04614339214279334,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J0249-0557 c,2MASS J0249-0557 A,Imaging,2018.0,derived_from_pl_bmasse_pl_rade,12.400000000000002,3686.8095212000003,10.6623370417538,26010.90190986471,1949.9999999999993,0.5157787422161787,2859.0,-0.22142223688969756,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J03590986+2009361 b,2MASS J03590986+2009361,Imaging,2024.0,derived_from_pl_bmasse_pl_rade,12.2,5720.911325999999,17.372106614410463,55774.993005582735,571.9999999999997,0.5423035121659437,2943.0,-0.1432523514283242,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
2MASS J04414489+2301513 b,2MASS J04414489+2301513,Imaging,2010.0,derived_from_pl_bmasse_pl_rade,12.600000000000001,2383.5999999999985,6.570349974204851,310.89091657284183,15.000000000000004,0.24490203913238062,2936.0,-0.0989459643408117,1.0,False,False,False,True,False,True,False,True,False,False,True,knn
