config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
joint_no_density_pca2_cubes10_overlap0p35,cube1_cluster0,cube2_cluster1,8,0.8,8,10,0.020833333333333332,0.041666666666666664,0.020833333333333332
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube1_cluster0,8,0.026402640264026403,8,303,0.020833333333333332,0.041666666666666664,0.020833333333333332
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube1_cluster0,8,0.006354249404289118,8,1259,0.020833333333333332,0.041666666666666664,0.020833333333333332
joint_no_density_pca2_cubes10_overlap0p35,cube2_cluster0,cube3_cluster0,23,0.1513157894736842,32,143,0.10869565217391304,0.057971014492753624,0.10869565217391304
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube2_cluster0,32,0.025416997617156472,32,1259,0.09895833333333333,0.052083333333333336,0.09895833333333333
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube2_cluster0,23,0.0199479618386817,32,1144,0.10869565217391304,0.057971014492753624,0.10869565217391304
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube2_cluster1,8,0.02622950819672131,10,303,0.020833333333333332,0.041666666666666664,0.020833333333333332
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube2_cluster1,9,0.007142857142857143,10,1259,0.018518518518518517,0.037037037037037035,0.018518518518518517
joint_no_density_pca2_cubes10_overlap0p35,cube2_cluster2,cube3_cluster0,5,0.03496503496503497,5,143,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube2_cluster2,5,0.003971405877680699,5,1259,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube2_cluster2,5,0.004370629370629371,5,1144,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube2_cluster3,cube3_cluster0,5,0.03496503496503497,5,143,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster1,cube2_cluster3,5,1.0,5,5,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube2_cluster3,5,0.004370629370629371,5,1144,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube3_cluster0,cube4_cluster0,64,0.3855421686746988,143,87,0.010416666666666666,0.0,0.010416666666666666
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube3_cluster0,28,0.020378457059679767,143,1259,0.08928571428571429,0.047619047619047616,0.08928571428571429
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster1,cube3_cluster0,5,0.03496503496503497,143,5,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube3_cluster0,121,0.10377358490566038,143,1144,0.023415977961432504,0.012396694214876033,0.023415977961432508
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube3_cluster0,45,0.07305194805194805,143,518,0.007407407407407407,0.0,0.007407407407407408
joint_no_density_pca2_cubes10_overlap0p35,cube4_cluster0,cube5_cluster1,6,0.06896551724137931,87,6,0.027777777777777776,0.027777777777777776,0.027777777777777776
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube4_cluster0,45,0.03794266441821248,87,1144,0.007407407407407407,0.0,0.007407407407407408
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube4_cluster0,52,0.09403254972875226,87,518,0.01282051282051282,0.0,0.012820512820512822
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster0,cube6_cluster0,9,0.5,10,17,0.018518518518518517,0.0,0.018518518518518517
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube5_cluster0,10,0.025,10,400,0.016666666666666666,0.0,0.016666666666666666
joint_no_density_pca2_cubes10_overlap0p35,cube16_cluster0,cube5_cluster0,9,0.09090909090909091,10,98,0.018518518518518517,0.0,0.018518518518518517
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube6_cluster0,9,0.022058823529411766,17,400,0.018518518518518517,0.0,0.018518518518518517
joint_no_density_pca2_cubes10_overlap0p35,cube16_cluster0,cube6_cluster0,17,0.17346938775510204,17,98,0.0196078431372549,0.0,0.0196078431372549
joint_no_density_pca2_cubes10_overlap0p35,cube10_cluster0,cube11_cluster0,23,0.07419354838709677,30,303,0.07246376811594202,0.021739130434782608,0.07246376811594203
joint_no_density_pca2_cubes10_overlap0p35,cube10_cluster0,cube19_cluster0,29,0.26851851851851855,30,107,0.08620689655172414,0.022988505747126436,0.08620689655172414
joint_no_density_pca2_cubes10_overlap0p35,cube10_cluster0,cube20_cluster0,23,0.02368692070030896,30,964,0.07246376811594202,0.021739130434782608,0.07246376811594203
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube12_cluster0,201,0.14768552534900808,303,1259,0.04311774461028193,0.019071310116086235,0.04311774461028192
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube19_cluster0,25,0.06493506493506493,303,107,0.06666666666666667,0.02,0.06666666666666667
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube20_cluster0,244,0.23851417399804498,303,964,0.04371584699453552,0.018442622950819672,0.04371584699453552
joint_no_density_pca2_cubes10_overlap0p35,cube11_cluster0,cube21_cluster0,156,0.058934642992066494,303,2500,0.04273504273504273,0.019230769230769232,0.04273504273504273
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube13_cluster0,619,0.34697309417040356,1259,1144,0.046042003231017765,0.02288637587506731,0.04604200323101778
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube20_cluster0,156,0.07547169811320754,1259,964,0.04273504273504273,0.019230769230769232,0.04273504273504273
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube21_cluster0,946,0.3362957696409527,1259,2500,0.03964059196617335,0.021141649048625793,0.039640591966173366
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster0,cube22_cluster0,438,0.21282798833819241,1259,1237,0.0441400304414003,0.0228310502283105,0.0441400304414003
joint_no_density_pca2_cubes10_overlap0p35,cube12_cluster1,cube13_cluster0,5,0.004370629370629371,5,1144,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube14_cluster0,190,0.12907608695652173,1144,518,0.03508771929824561,0.013157894736842105,0.03508771929824561
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube21_cluster0,439,0.13697347893915757,1144,2500,0.04403948367501898,0.022779043280182234,0.044039483675018976
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube22_cluster0,720,0.4334738109572547,1144,1237,0.043287037037037034,0.021064814814814814,0.04328703703703704
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster0,cube23_cluster0,107,0.07205387205387205,1144,448,0.04672897196261682,0.01557632398753894,0.04672897196261682
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster1,cube22_cluster1,3,1.0,3,3,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube15_cluster0,176,0.2371967654986523,518,400,0.041666666666666664,0.0,0.041666666666666664
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube15_cluster1,4,0.007722007722007722,518,4,0.0,0.08333333333333333,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube22_cluster0,107,0.06492718446601942,518,1237,0.04672897196261682,0.01557632398753894,0.04672897196261682
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube23_cluster0,337,0.5357710651828299,518,448,0.05637982195845697,0.008407517309594461,0.05637982195845698
joint_no_density_pca2_cubes10_overlap0p35,cube14_cluster0,cube24_cluster1,120,0.2033898305084746,518,192,0.05138888888888889,0.0,0.051388888888888894
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube16_cluster0,65,0.15011547344110854,400,98,0.01282051282051282,0.010256410256410256,0.012820512820512822
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube23_cluster0,120,0.16483516483516483,400,448,0.05138888888888889,0.0,0.051388888888888894
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube24_cluster1,183,0.4474327628361858,400,192,0.04918032786885245,0.0018214936247723133,0.04918032786885246
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster0,cube25_cluster0,4,0.01,400,4,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube16_cluster0,cube24_cluster1,7,0.024734982332155476,98,192,0.023809523809523808,0.0,0.023809523809523808
joint_no_density_pca2_cubes10_overlap0p35,cube16_cluster0,cube25_cluster0,4,0.04081632653061224,98,4,0.0,0.0,0.0
joint_no_density_pca2_cubes10_overlap0p35,cube19_cluster0,cube20_cluster0,85,0.08620689655172414,107,964,0.07254901960784314,0.013725490196078431,0.07254901960784314
joint_no_density_pca2_cubes10_overlap0p35,cube19_cluster0,cube26_cluster0,27,0.24770642201834864,107,29,0.09876543209876543,0.0,0.09876543209876543
joint_no_density_pca2_cubes10_overlap0p35,cube19_cluster0,cube27_cluster0,24,0.038523274478330656,107,540,0.08333333333333333,0.0,0.08333333333333333
joint_no_density_pca2_cubes10_overlap0p35,cube20_cluster0,cube21_cluster0,656,0.2336182336182336,964,2500,0.033028455284552845,0.009908536585365854,0.033028455284552845
joint_no_density_pca2_cubes10_overlap0p35,cube20_cluster0,cube26_cluster0,25,0.025826446280991736,964,29,0.08,0.0,0.08
joint_no_density_pca2_cubes10_overlap0p35,cube20_cluster0,cube27_cluster0,351,0.3044232437120555,964,540,0.034188034188034185,0.0052231718898385565,0.034188034188034185
joint_no_density_pca2_cubes10_overlap0p35,cube20_cluster0,cube28_cluster0,242,0.148740012292563,964,905,0.026859504132231406,0.004132231404958678,0.02685950413223141
joint_no_density_pca2_cubes10_overlap0p35,cube21_cluster0,cube22_cluster0,794,0.26979272850832486,2500,1237,0.05940386230058774,0.020780856423173805,0.059403862300587744
joint_no_density_pca2_cubes10_overlap0p35,cube21_cluster0,cube27_cluster0,242,0.0864903502501787,2500,540,0.026859504132231406,0.004132231404958678,0.02685950413223141
joint_no_density_pca2_cubes10_overlap0p35,cube21_cluster0,cube28_cluster0,594,0.2113127001067236,2500,905,0.04461279461279461,0.007295173961840629,0.04461279461279461
joint_no_density_pca2_cubes10_overlap0p35,cube21_cluster0,cube29_cluster0,95,0.033735795454545456,2500,411,0.11403508771929825,0.015789473684210527,0.11403508771929825
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube23_cluster0,156,0.10202746893394375,1237,448,0.07478632478632478,0.011752136752136752,0.07478632478632478
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube23_cluster1,4,0.0032336297493936943,1237,4,0.3333333333333333,0.0,0.3333333333333333
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube28_cluster0,95,0.046409379579872984,1237,905,0.11403508771929825,0.015789473684210527,0.11403508771929825
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube29_cluster0,162,0.10901749663526245,1237,411,0.14094650205761317,0.0102880658436214,0.14094650205761317
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube30_cluster0,22,0.014696058784235137,1237,282,0.24999999999999997,0.0,0.25
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster0,cube30_cluster1,4,0.0032336297493936943,1237,4,0.08333333333333333,0.0,0.08333333333333333
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube24_cluster0,4,0.008928571428571428,448,4,0.3333333333333333,0.0,0.3333333333333333
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube24_cluster1,129,0.25244618395303325,448,192,0.062015503875968984,0.0,0.06201550387596899
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube29_cluster0,17,0.020190023752969122,448,411,0.23529411764705882,0.0,0.2352941176470588
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube30_cluster0,30,0.04285714285714286,448,282,0.3055555555555556,0.005555555555555556,0.3055555555555556
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube30_cluster1,4,0.008928571428571428,448,4,0.08333333333333333,0.0,0.08333333333333333
joint_no_density_pca2_cubes10_overlap0p35,cube23_cluster0,cube31_cluster0,2,0.003937007874015748,448,62,0.5,0.0,0.5
