config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
orb_thermal_density_cubes10_overlap0p35,cube0_cluster0,cube1_cluster0,15,0.2112676056338028,15,71,0.016666666666666666,0.0,0.016666666666666666
orb_thermal_density_cubes10_overlap0p35,cube0_cluster0,cube10_cluster0,15,1.0,15,15,0.016666666666666666,0.0,0.016666666666666666
orb_thermal_density_cubes10_overlap0p35,cube0_cluster0,cube11_cluster0,15,0.13392857142857142,15,112,0.016666666666666666,0.0,0.016666666666666666
orb_thermal_density_cubes10_overlap0p35,cube0_cluster1,cube1_cluster0,17,0.18681318681318682,37,71,0.014705882352941176,0.014705882352941176,0.014705882352941176
orb_thermal_density_cubes10_overlap0p35,cube0_cluster1,cube1_cluster1,9,0.17307692307692307,37,24,0.027777777777777776,0.0,0.027777777777777776
orb_thermal_density_cubes10_overlap0p35,cube0_cluster1,cube10_cluster1,37,0.052556818181818184,37,704,0.013513513513513514,0.013513513513513514,0.013513513513513514
orb_thermal_density_cubes10_overlap0p35,cube0_cluster1,cube11_cluster0,17,0.12878787878787878,37,112,0.014705882352941176,0.014705882352941176,0.014705882352941176
orb_thermal_density_cubes10_overlap0p35,cube0_cluster1,cube11_cluster4,10,0.10638297872340426,37,67,0.025,0.0,0.025
orb_thermal_density_cubes10_overlap0p35,cube0_cluster2,cube1_cluster0,4,0.056338028169014086,4,71,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube0_cluster2,cube10_cluster2,4,1.0,4,4,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube0_cluster2,cube11_cluster0,4,0.03571428571428571,4,112,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube1_cluster0,cube2_cluster1,4,0.056338028169014086,71,4,0.0,0.0625,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster0,cube1_cluster0,15,0.2112676056338028,71,15,0.016666666666666666,0.0,0.016666666666666666
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube1_cluster0,17,0.022427440633245383,71,704,0.014705882352941176,0.014705882352941176,0.014705882352941176
orb_thermal_density_cubes10_overlap0p35,cube10_cluster2,cube1_cluster0,4,0.056338028169014086,71,4,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube11_cluster0,cube1_cluster0,71,0.6339285714285714,71,112,0.014084507042253521,0.007042253521126761,0.014084507042253521
orb_thermal_density_cubes10_overlap0p35,cube12_cluster3,cube1_cluster0,4,0.056338028169014086,71,4,0.0,0.0625,0.0
orb_thermal_density_cubes10_overlap0p35,cube1_cluster1,cube2_cluster0,5,0.20833333333333334,24,5,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube1_cluster1,9,0.012517385257301807,24,704,0.027777777777777776,0.0,0.027777777777777776
orb_thermal_density_cubes10_overlap0p35,cube11_cluster4,cube1_cluster1,24,0.3582089552238806,24,67,0.03125,0.0,0.03125
orb_thermal_density_cubes10_overlap0p35,cube12_cluster2,cube1_cluster1,5,0.20833333333333334,24,5,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube11_cluster4,cube2_cluster0,5,0.07462686567164178,5,67,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube12_cluster2,cube2_cluster0,5,1.0,5,5,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube11_cluster0,cube2_cluster1,4,0.03571428571428571,4,112,0.0,0.0625,0.0
orb_thermal_density_cubes10_overlap0p35,cube12_cluster3,cube2_cluster1,4,1.0,4,4,0.0,0.0625,0.0
orb_thermal_density_cubes10_overlap0p35,cube8_cluster0,cube9_cluster0,355,0.3031596925704526,494,1032,0.05845070422535211,0.02464788732394366,0.05845070422535212
orb_thermal_density_cubes10_overlap0p35,cube15_cluster0,cube8_cluster0,457,0.28019619865113427,494,1594,0.0661925601750547,0.02899343544857768,0.0661925601750547
orb_thermal_density_cubes10_overlap0p35,cube16_cluster0,cube8_cluster0,325,0.12086277426552622,494,2520,0.06,0.026923076923076925,0.06
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube9_cluster0,306,0.213986013986014,1032,704,0.059640522875817,0.0196078431372549,0.059640522875817
orb_thermal_density_cubes10_overlap0p35,cube15_cluster0,cube9_cluster0,325,0.14124293785310735,1032,1594,0.06,0.026923076923076925,0.06
orb_thermal_density_cubes10_overlap0p35,cube16_cluster0,cube9_cluster0,864,0.32142857142857145,1032,2520,0.05700231481481482,0.023148148148148147,0.05700231481481482
orb_thermal_density_cubes10_overlap0p35,cube17_cluster0,cube9_cluster0,209,0.10295566502463054,1032,1207,0.07057416267942583,0.022727272727272728,0.07057416267942583
orb_thermal_density_cubes10_overlap0p35,cube10_cluster0,cube11_cluster0,15,0.13392857142857142,15,112,0.016666666666666666,0.0,0.016666666666666666
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster0,42,0.05426356589147287,704,112,0.023809523809523808,0.005952380952380952,0.023809523809523808
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster1,4,0.005681818181818182,704,4,0.25,0.0,0.25
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster2,12,0.01702127659574468,704,13,0.16666666666666666,0.0,0.16666666666666666
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster3,1,0.0014144271570014145,704,4,0.25,0.0,0.25
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster4,35,0.04755434782608696,704,67,0.007142857142857143,0.014285714285714285,0.007142857142857143
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster5,40,0.05333333333333334,704,86,0.04375,0.0125,0.04375
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster6,4,0.005673758865248227,704,5,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster7,4,0.005673758865248227,704,5,0.125,0.0,0.125
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster8,5,0.007032348804500703,704,12,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster9,2,0.0028328611898017,704,4,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster10,3,0.00424929178470255,704,5,0.0,0.0,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster11,4,0.005681818181818182,704,4,0.25,0.0,0.25
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube11_cluster12,4,0.0056657223796034,704,6,0.0,0.125,0.0
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube16_cluster0,209,0.06932006633499171,704,2520,0.07057416267942583,0.022727272727272728,0.07057416267942583
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube17_cluster0,405,0.2689243027888446,704,1207,0.07716049382716049,0.022222222222222223,0.07716049382716049
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube18_cluster1,4,0.005681818181818182,704,4,0.25,0.0,0.25
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube18_cluster2,12,0.01702127659574468,704,13,0.16666666666666666,0.0,0.16666666666666666
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube18_cluster3,38,0.04600484261501211,704,160,0.046052631578947366,0.013157894736842105,0.046052631578947366
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube18_cluster4,1,0.0014144271570014145,704,4,0.25,0.0,0.25
orb_thermal_density_cubes10_overlap0p35,cube10_cluster1,cube18_cluster5,4,0.005405405405405406,704,40,0.25,0.0,0.25
