config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
phys_min_domain_cubes10_overlap0p35,cube0_cluster0,cube1_cluster0,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube0_cluster0,cube3_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube0_cluster0,cube4_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube1_cluster0,cube3_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube1_cluster0,cube4_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube3_cluster0,cube4_cluster0,6,0.10526315789473684,6,57,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube3_cluster1,cube4_cluster1,5,1.0,5,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube4_cluster0,cube9_cluster0,46,0.1513157894736842,57,293,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube10_cluster0,cube9_cluster0,229,0.6450704225352113,293,291,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster0,cube9_cluster0,154,0.5238095238095238,293,155,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster0,cube9_cluster0,154,0.1003257328990228,293,1396,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube10_cluster0,cube14_cluster0,154,0.5273972602739726,291,155,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube10_cluster0,cube15_cluster0,216,0.14683888511216858,291,1396,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster0,cube15_cluster0,155,0.11103151862464183,155,1396,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster1,cube15_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster1,cube21_cluster0,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster1,cube22_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster2,cube15_cluster3,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster2,cube21_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube14_cluster2,cube22_cluster2,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster0,cube16_cluster0,736,0.344892221180881,1396,1474,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster0,cube22_cluster0,530,0.37219101123595505,1396,558,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster0,cube23_cluster0,511,0.1565084226646248,1396,2380,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster1,cube21_cluster0,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster1,cube22_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster2,cube16_cluster1,4,0.8,4,5,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster3,cube21_cluster1,4,1.0,4,4,0.0,0.0,0.0
phys_min_domain_cubes10_overlap0p35,cube15_cluster3,cube22_cluster2,4,1.0,4,4,0.0,0.0,0.0
