config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
thermal_domain_cubes10_overlap0p35,cube13_cluster0,cube17_cluster1,39,0.9285714285714286,42,39,0.9743589743589743,0.0,0.9743589743589743
thermal_domain_cubes10_overlap0p35,cube17_cluster0,cube18_cluster0,92,0.3484848484848485,249,107,0.9891304347826086,0.0,0.9891304347826086
thermal_domain_cubes10_overlap0p35,cube17_cluster0,cube18_cluster1,17,0.06827309236947791,249,17,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster0,cube23_cluster0,229,0.19147157190635453,249,1176,0.7205240174672489,0.0,0.7205240174672489
thermal_domain_cubes10_overlap0p35,cube17_cluster0,cube24_cluster0,92,0.05227272727272727,249,1603,0.9891304347826086,0.0,0.9891304347826086
thermal_domain_cubes10_overlap0p35,cube17_cluster0,cube24_cluster2,17,0.06827309236947791,249,17,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster3,cube23_cluster1,6,1.0,6,6,0.8333333333333334,0.0,0.8333333333333333
thermal_domain_cubes10_overlap0p35,cube17_cluster5,cube23_cluster2,4,0.5,8,4,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster10,cube18_cluster2,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster10,cube23_cluster4,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster10,cube24_cluster3,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster13,cube23_cluster5,6,1.0,6,6,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube17_cluster14,cube18_cluster4,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube18_cluster0,cube23_cluster0,92,0.07724601175482787,107,1176,0.9891304347826086,0.0,0.9891304347826086
thermal_domain_cubes10_overlap0p35,cube18_cluster0,cube24_cluster0,107,0.06674984404242046,107,1603,0.9813084112149533,0.0,0.9813084112149533
thermal_domain_cubes10_overlap0p35,cube18_cluster1,cube23_cluster0,17,0.01445578231292517,17,1176,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube18_cluster1,cube24_cluster2,17,1.0,17,17,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube18_cluster2,cube23_cluster4,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube18_cluster2,cube24_cluster3,5,1.0,5,5,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube18_cluster3,cube24_cluster0,5,0.0031191515907673115,5,1603,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube23_cluster0,cube24_cluster0,969,0.5353591160220994,1176,1603,0.3090815273477812,0.0,0.3090815273477812
thermal_domain_cubes10_overlap0p35,cube23_cluster0,cube24_cluster2,17,0.01445578231292517,1176,17,1.0,0.0,1.0
thermal_domain_cubes10_overlap0p35,cube23_cluster0,cube30_cluster0,554,0.4601328903654485,1176,582,0.10740072202166065,0.0,0.10740072202166065
thermal_domain_cubes10_overlap0p35,cube23_cluster0,cube31_cluster0,553,0.16370633510953228,1176,2755,0.10759493670886076,0.0,0.10759493670886076
thermal_domain_cubes10_overlap0p35,cube23_cluster4,cube24_cluster3,5,1.0,5,5,1.0,0.0,1.0
