config_id,source,target,n_shared_members,jaccard_members,source_size,target_size,mean_imputation_fraction_shared,physically_derived_fraction_shared,imputed_fraction_shared
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,cube12_cluster0,32,0.7619047619047619,32,42,0.96875,0.0,0.96875
thermal_pca2_cubes10_overlap0p35,cube11_cluster2,cube12_cluster7,4,0.26666666666666666,4,15,1.0,0.0,1.0
thermal_pca2_cubes10_overlap0p35,cube11_cluster2,cube17_cluster0,4,1.0,4,4,1.0,0.0,1.0
thermal_pca2_cubes10_overlap0p35,cube11_cluster2,cube18_cluster7,4,0.26666666666666666,4,15,1.0,0.0,1.0
thermal_pca2_cubes10_overlap0p35,cube12_cluster1,cube18_cluster1,10,1.0,10,10,0.95,0.0,0.95
thermal_pca2_cubes10_overlap0p35,cube12_cluster2,cube13_cluster3,4,0.18181818181818182,22,4,0.625,0.0,0.625
thermal_pca2_cubes10_overlap0p35,cube12_cluster2,cube18_cluster0,22,0.030598052851182198,22,719,0.5227272727272727,0.0,0.5227272727272727
thermal_pca2_cubes10_overlap0p35,cube12_cluster2,cube19_cluster0,4,0.004479283314669653,22,875,0.625,0.0,0.625
thermal_pca2_cubes10_overlap0p35,cube12_cluster3,cube13_cluster1,6,0.6666666666666666,9,6,0.75,0.0,0.75
thermal_pca2_cubes10_overlap0p35,cube12_cluster3,cube18_cluster2,9,1.0,9,9,0.8333333333333334,0.0,0.8333333333333333
thermal_pca2_cubes10_overlap0p35,cube12_cluster3,cube19_cluster2,6,0.6666666666666666,9,6,0.75,0.0,0.75
thermal_pca2_cubes10_overlap0p35,cube12_cluster4,cube13_cluster2,8,1.0,8,8,0.875,0.0,0.875
thermal_pca2_cubes10_overlap0p35,cube12_cluster4,cube18_cluster3,8,1.0,8,8,0.875,0.0,0.875
thermal_pca2_cubes10_overlap0p35,cube12_cluster4,cube19_cluster3,8,1.0,8,8,0.875,0.0,0.875
thermal_pca2_cubes10_overlap0p35,cube12_cluster5,cube18_cluster4,23,1.0,23,23,0.8913043478260869,0.0,0.8913043478260869
