config_id,input_method,space,lens,n_cubes,overlap,clusterer,min_samples,eps_percentile,rows_used,n_features,mean_node_imputation_fraction,max_node_imputation_fraction,mean_node_physically_derived_fraction,frac_nodes_high_imputation,frac_nodes_high_derived,config_has_density_feature,n_nodes,n_edges,beta_0,beta_1,graph_density,average_degree,average_clustering,transitivity,n_isolates,largest_component_size,largest_component_fraction,mean_node_size,median_node_size,min_node_size,max_node_size
joint_density_cubes10_overlap0p35,iterative,joint,density,10,0.35,dbscan,4,90.0,6273,7,0.10561658544615779,0.42857142857142855,0.1466612075308429,0.11965811965811966,0.0,True,117,260,10,153,0.038314176245210725,4.444444444444445,0.6520115019458871,0.21279554937413073,4,103,0.8803418803418803,113.25641025641026,10.0,3,1685
joint_domain_cubes10_overlap0p35,iterative,joint,domain,10,0.35,dbscan,4,90.0,6273,7,0.12110079930982587,0.5714285714285714,0.13928259875289345,0.125,0.0,True,64,116,7,59,0.057539682539682536,3.625,0.4445216242091242,0.3333333333333333,2,54,0.84375,209.796875,8.0,3,2552
joint_pca2_cubes10_overlap0p35,iterative,joint,pca2,10,0.35,dbscan,4,90.0,6273,7,0.1517948531939548,0.42857142857142855,0.14787059472415207,0.14285714285714285,0.0,True,56,126,7,77,0.08181818181818182,4.5,0.572804576376005,0.46615384615384614,0,40,0.7142857142857143,246.05357142857142,23.0,4,2384
joint_no_density_density_cubes10_overlap0p35,iterative,joint_no_density,density,10,0.35,dbscan,4,90.0,6273,6,0.1418305607027528,0.5,0.0051650850871626346,0.25688073394495414,0.0,False,109,233,10,134,0.03958545701664968,4.275229357798165,0.6746567858024016,0.2661290322580645,4,93,0.8532110091743119,122.10091743119266,7.0,3,1797
joint_no_density_domain_cubes10_overlap0p35,iterative,joint_no_density,domain,10,0.35,dbscan,4,90.0,6273,6,0.21172839506172839,0.5,0.0012684787792083929,0.3333333333333333,0.0,False,9,0,9,0,0.0,0.0,0.0,0.0,9,1,0.1111111111111111,651.3333333333334,4.0,3,5825
joint_no_density_pca2_cubes10_overlap0p35,iterative,joint_no_density,pca2,10,0.35,dbscan,4,90.0,6273,6,0.17570100807987993,0.5,0.007711050247016595,0.3548387096774194,0.0,False,62,134,9,81,0.07086197778952935,4.32258064516129,0.5423253270027464,0.4535367545076283,3,47,0.7580645161290323,220.6451612903226,23.0,3,2500
orb_thermal_density_cubes10_overlap0p35,iterative,orb_thermal,density,10,0.35,dbscan,4,90.0,6273,4,0.2550097557095683,0.75,0.009134581329442676,0.4214876033057851,0.0,False,121,246,13,138,0.033884297520661154,4.066115702479339,0.6877123254601215,0.2321278385197645,6,97,0.8016528925619835,111.84297520661157,6.0,3,2520
orb_thermal_domain_cubes10_overlap0p35,iterative,orb_thermal,domain,10,0.35,dbscan,4,90.0,6273,4,0.25408088663223105,0.75,0.011457473334192891,0.42857142857142855,0.0,False,56,82,12,38,0.053246753246753244,2.9285714285714284,0.38428159142444857,0.35498839907192575,6,40,0.7142857142857143,242.60714285714286,8.0,3,2762
orb_thermal_pca2_cubes10_overlap0p35,iterative,orb_thermal,pca2,10,0.35,dbscan,4,90.0,6273,4,0.34674308347500044,0.75,0.009035655011184193,0.5862068965517241,0.0,False,58,100,12,54,0.060496067755595885,3.4482758620689653,0.5359829825347067,0.47577092511013214,4,36,0.6206896551724138,244.79310344827587,6.5,3,2847
orbital_density_cubes10_overlap0p35,iterative,orbital,density,10,0.35,dbscan,4,90.0,6273,2,0.029755040895347935,0.38461538461538464,0.02756521843894174,0.02247191011235955,0.0,False,178,297,25,144,0.01885355170443725,3.337078651685393,0.5430934587089037,0.1350844277673546,6,117,0.6573033707865169,76.08988764044943,7.0,3,2389
orbital_domain_cubes10_overlap0p35,iterative,orbital,domain,10,0.35,dbscan,4,90.0,6273,2,0.03389417288289175,0.375,0.030398556472312852,0.012987012987012988,0.0,False,77,94,25,42,0.03212576896787423,2.4415584415584415,0.6649350649350649,0.8615384615384616,4,13,0.16883116883116883,189.8961038961039,6.0,3,3206
orbital_pca2_cubes10_overlap0p35,iterative,orbital,pca2,10,0.35,dbscan,4,90.0,6273,2,0.011199827665987988,0.375,0.02768533488517559,0.008064516129032258,0.0,False,124,196,24,96,0.025701547338054027,3.161290322580645,0.5772279333569657,0.21452513966480447,4,62,0.5,91.5725806451613,6.0,3,3316
phys_density_density_cubes10_overlap0p35,iterative,phys_density,density,10,0.35,dbscan,4,90.0,6273,3,0.0018741113696230248,0.08430913348946134,0.3324466379096586,0.0,0.9871794871794872,True,78,109,21,52,0.036297036297036296,2.7948717948717947,0.44404484404484407,0.45064377682403434,6,39,0.5,164.97435897435898,18.0,4,2431
phys_density_domain_cubes10_overlap0p35,iterative,phys_density,domain,10,0.35,dbscan,4,90.0,6273,3,0.01034916989227904,0.5271317829457365,0.3281765206315787,0.0125,0.975,True,80,132,16,68,0.04177215189873418,3.3,0.6215097402597403,0.48214285714285715,4,44,0.55,172.325,6.0,4,2563
phys_density_pca2_cubes10_overlap0p35,iterative,phys_density,pca2,10,0.35,dbscan,4,90.0,6273,3,0.001837022418032922,0.07866666666666666,0.33242662843303494,0.0,0.9850746268656716,True,67,102,17,52,0.04613297150610583,3.044776119402985,0.5614621696711249,0.5294117647058824,7,33,0.4925373134328358,238.38805970149255,6.0,3,3023
phys_min_density_cubes10_overlap0p35,iterative,phys_min,density,10,0.35,dbscan,4,90.0,6273,2,0.009776345788842183,0.4166666666666667,0.0,0.010309278350515464,0.0,False,97,152,20,75,0.03264604810996564,3.134020618556701,0.5211793933443418,0.430416068866571,4,53,0.5463917525773195,138.0,9.0,3,1735
phys_min_domain_cubes10_overlap0p35,iterative,phys_min,domain,10,0.35,dbscan,4,90.0,6273,2,0.010439712736274198,0.2692307692307692,0.0,0.0,0.0,False,76,125,15,64,0.043859649122807015,3.289473684210526,0.7446912736386421,0.6028368794326241,2,34,0.4473684210526316,173.51315789473685,7.0,3,2380
phys_min_pca2_cubes10_overlap0p35,iterative,phys_min,pca2,10,0.35,dbscan,4,90.0,6273,2,0.017370253623123333,0.42105263157894735,0.0,0.030303030303030304,0.0,False,66,105,15,54,0.04895104895104895,3.1818181818181817,0.6485930735930736,0.579088471849866,6,33,0.5,202.54545454545453,7.0,3,2323
thermal_density_cubes10_overlap0p35,iterative,thermal,density,10,0.35,dbscan,4,90.0,6273,2,0.4715750258407292,1.0,0.0,0.5414634146341464,0.0,False,205,338,38,171,0.016164514586322332,3.297560975609756,0.5217747265339612,0.19918104708979234,9,131,0.6390243902439025,65.09268292682927,8.0,3,1747
thermal_domain_cubes10_overlap0p35,iterative,thermal,domain,10,0.35,dbscan,4,90.0,6273,2,0.527383288698465,1.0,0.0,0.6210526315789474,0.0,False,95,105,38,48,0.023516237402015677,2.210526315789474,0.4339758487126908,0.5800604229607251,18,27,0.28421052631578947,143.05263157894737,6.0,3,2755
thermal_pca2_cubes10_overlap0p35,iterative,thermal,pca2,10,0.35,dbscan,4,90.0,6273,2,0.5875030401169343,1.0,0.0,0.71900826446281,0.0,False,121,150,38,67,0.02066115702479339,2.479338842975207,0.5049242768251032,0.521484375,6,35,0.2892561983471074,96.15702479338843,6.0,3,2993
