config_id,feature_space,lens,region_type,region_id,n_members,final_label,confidence,physical_evidence_score,observational_bias_score,imputation_risk_score,dominant_discoverymethod,dominant_discoverymethod_fraction,discoverymethod_enrichment_z,discoverymethod_enrichment_p,mean_imputation_fraction,radius_class_dominant,radius_class_purity,orbit_class_dominant,thermal_class_dominant,rationale_short,recommended_report_language,node_id,discoverymethod_entropy,discoverymethod_js_divergence_vs_global,discoverymethod_kl_divergence_vs_global,dominant_disc_facility,dominant_disc_facility_fraction,disc_facility_entropy,disc_year_median,disc_year_iqr,max_imputation_fraction,frac_orbit_short_period,frac_orbit_intermediate_period,frac_orbit_long_period,frac_thermal_very_hot,frac_thermal_hot,frac_thermal_warm,frac_thermal_cool,frac_hot_jupiter_candidate,frac_super_earth_candidate,frac_sub_neptune_candidate,frac_rocky_candidate,frac_long_period_giant_candidate,candidate_population_top,physically_derived_fraction,frac_any_imputed,enrichment_z,empirical_p_value,n_perm,seed,component_id,n_component_nodes,component_node_ids,beta_1_component,dominant_candidate_population,caution_level
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,0,5825,observational,medium,0.55,0.7503862660944206,0.8888888888888888,Transit,0.7503862660944206,,,0.1,sub_neptune_size,0.4415450643776824,short_period,warm,physical_score=0.55; bias_score=0.75; imputation_risk=0.89; Transit fraction=0.75; radius=sub_neptune_size,component `0` in `joint_no_density_pca2_cubes10_overlap0p35` is observationally suspicious: it is dominated by Transit metadata and should not be read as an astrophysical population without additional controls.,,1.072972169078395,0.0053736931341,0.0168975150403961,Kepler,0.4549356223175965,3.114710390975359,2016.0,7.0,0.6666666666666666,,,,,,,,,,,,,,0.0101720237301069,,,,,,0,47.0,"[""cube10_cluster0"", ""cube11_cluster0"", ""cube12_cluster0"", ""cube12_cluster1"", ""cube13_cluster0"", ""cube14_cluster0"", ""cube15_cluster0"", ""cube15_cluster1"", ""cube16_cluster0"", ""cube19_cluster0"", ""cube1_cluster0"", ""cube20_cluster0"", ""cube21_cluster0"", ""cube22_cluster0"", ""cube23_cluster0"", ""cube23_cluster1"", ""cube24_cluster0"", ""cube24_cluster1"", ""cube25_cluster0"", ""cube26_cluster0"", ""cube27_cluster0"", ""cube28_cluster0"", ""cube29_cluster0"", ""cube2_cluster0"", ""cube2_cluster1"", ""cube2_cluster2"", ""cube2_cluster3"", ""cube30_cluster0"", ""cube30_cluster1"", ""cube31_cluster0"", ""cube34_cluster0"", ""cube35_cluster0"", ""cube36_cluster0"", ""cube37_cluster0"", ""cube38_cluster0"", ""cube38_cluster1"", ""cube3_cluster0"", ""cube44_cluster0"", ""cube45_cluster0"", ""cube46_cluster0"", ""cube4_cluster0"", ""cube53_cluster0"", ""cube54_cluster0"", ""cube55_cluster0"", ""cube5_cluster0"", ""cube5_cluster1"", ""cube6_cluster0""]",78.0,warm_or_cool_giant_candidate,low
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,2,3,weak,high,1.0,1.0,0.85,Transit,1.0,,,0.0,sub_neptune_size,1.0,short_period,hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.85; Transit fraction=1.00; radius=sub_neptune_size,"component `2` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.1445587314591173,0.4359638356008698,Transiting Exoplanet Survey Satellite (TESS),0.6666666666666666,0.9182958340544896,2021.0,4.0,0.0,,,,,,,,,,,,,,0.0,,,,,,2,2.0,"[""cube13_cluster1"", ""cube22_cluster1""]",0.0,sub_neptune_candidate,low
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,4,4,weak,high,1.0,1.0,0.85,Radial Velocity,1.0,,,0.25,sub_neptune_size,1.0,intermediate_period,cool,physical_score=1.00; bias_score=1.00; imputation_risk=0.85; Radial Velocity fraction=1.00; radius=sub_neptune_size,"component `4` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.6257866282151485,2.4115918439739006,Multiple Observatories,0.5,1.5,2021.0,8.75,0.3333333333333333,,,,,,,,,,,,,,0.0,,,,,,4,2.0,"[""cube26_cluster1"", ""cube27_cluster1""]",0.0,sub_neptune_candidate,moderate
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,6,5,weak,high,1.0,1.0,1.0,Imaging,1.0,,,0.3333333333333333,jovian_size,1.0,long_period,very_hot,physical_score=1.00; bias_score=1.00; imputation_risk=1.00; Imaging fraction=1.00; radius=jovian_size,"component `6` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.9427362540718256,6.029977346192703,European Space Agency (ESA) Gaia Satellite,0.4,1.521928094887362,2019.0,7.0,0.3333333333333333,,,,,,,,,,,,,,0.0,,,,,,6,4.0,"[""cube50_cluster0"", ""cube51_cluster0"", ""cube59_cluster0"", ""cube60_cluster0""]",3.0,warm_or_cool_giant_candidate,high
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,7,10,weak,high,1.0,1.0,1.0,Imaging,1.0,,,0.5,jovian_size,1.0,long_period,cool,physical_score=1.00; bias_score=1.00; imputation_risk=1.00; Imaging fraction=1.00; radius=jovian_size,"component `7` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.9427362540718256,6.029977346192703,W. M. Keck Observatory,0.4,1.721928094887362,2018.0,10.75,0.5,,,,,,,,,,,,,,0.0,,,,,,7,2.0,"[""cube61_cluster0"", ""cube62_cluster0""]",0.0,warm_or_cool_giant_candidate,high
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,8,4,weak,high,1.0,1.0,1.0,Imaging,1.0,,,0.5,jovian_size,1.0,long_period,cool,physical_score=1.00; bias_score=1.00; imputation_risk=1.00; Imaging fraction=1.00; radius=jovian_size,"component `8` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.9427362540718256,6.029977346192703,Paranal Observatory,0.25,2.0,2016.5,17.75,0.5,,,,,,,,,,,,,,0.0,,,,,,8,2.0,"[""cube61_cluster1"", ""cube68_cluster0""]",0.0,warm_or_cool_giant_candidate,high
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,1,4,weak,high,0.55,1.0,0.85,Transit,1.0,,,0.0,rocky_size,0.5,short_period,very_hot,physical_score=0.55; bias_score=1.00; imputation_risk=0.85; Transit fraction=1.00; radius=rocky_size,"component `1` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,-0.0,0.1445587314591173,0.4359638356008698,K2,0.5,1.5,2018.0,4.0,0.0,,,,,,,,,,,,,,0.0,,,,,,1,1.0,"[""cube5_cluster2""]",0.0,sub_neptune_candidate,low
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,3,3,weak,high,1.0,0.6666666666666666,0.85,Radial Velocity,0.6666666666666666,,,0.0555555555555555,rocky_size,1.0,short_period,cool,physical_score=1.00; bias_score=0.67; imputation_risk=0.85; Radial Velocity fraction=0.67; radius=rocky_size,"component `3` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,0.9182958340544896,0.1957684669888445,0.8347533405119626,La Silla Observatory,0.6666666666666666,0.9182958340544896,2025.0,4.5,0.1666666666666666,,,,,,,,,,,,,,0.0,,,,,,3,1.0,"[""cube19_cluster1""]",0.0,rocky_candidate,low
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,component,5,4,weak,high,1.0,0.6,0.85,Radial Velocity,0.5,,,0.1666666666666666,jovian_size,1.0,intermediate_period,warm,physical_score=1.00; bias_score=0.60; imputation_risk=0.85; Radial Velocity fraction=0.50; radius=jovian_size,"component `5` in `joint_no_density_pca2_cubes10_overlap0p35` is weak evidence: size, imputation, or ambiguous physical/observational signals make it unsuitable for strong interpretation.",,1.0,0.1061488855211604,0.4237778398376909,K2,0.25,2.0,2015.0,13.5,0.3333333333333333,,,,,,,,,,,,,,0.0,,,,,,5,1.0,"[""cube28_cluster1""]",0.0,warm_or_cool_giant_candidate,moderate
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,node,cube12_cluster1,5,mixed,high,1.0,1.0,0.5,Transit,1.0,1.3547489772884682,0.2157842157842157,0.0,rocky_size,1.0,short_period,very_hot,physical_score=1.00; bias_score=1.00; imputation_risk=0.50; Transit fraction=1.00; enrichment_z=1.35; p=0.216; radius=rocky_size,node `cube12_cluster1` in `joint_no_density_pca2_cubes10_overlap0p35` has both physical coherence (rocky_size/short_period) and discovery-method enrichment (Transit); it should be discussed as mixed evidence rather than a clean physical structure.,cube12_cluster1,-0.0,0.1445587314591173,0.4359638356008698,Kepler,1.0,-0.0,2016.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,rocky_candidate,0.0,0.0,1.3547489772884682,0.2157842157842157,1000.0,42.0,,,,,,
