config_id,feature_space,lens,node_id,n_members,dominant_discoverymethod,dominant_discoverymethod_fraction,discoverymethod_entropy,discoverymethod_js_divergence_vs_global,discoverymethod_kl_divergence_vs_global,dominant_disc_facility,dominant_disc_facility_fraction,disc_facility_entropy,disc_year_median,disc_year_iqr,radius_class_dominant,radius_class_purity,orbit_class_dominant,thermal_class_dominant,mean_imputation_fraction,max_imputation_fraction
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube0_cluster0,5,Transit,1.0,-0.0,0.1445587314591173,0.4359638356008698,Kepler,1.0,-0.0,2016.0,8.0,rocky_size,1.0,short_period,hot,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube11_cluster0,4,Transit,0.75,0.8112781244591328,0.03963591444724976,0.118592713282614,Transiting Exoplanet Survey Satellite (TESS),0.5,1.5,2022.0,7.25,rocky_size,1.0,intermediate_period,warm,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube12_cluster0,78,Transit,0.9615384615384616,0.27051245235979876,0.10050941689396961,0.33378769136673075,Kepler,0.6794871794871795,1.3852121491101386,2016.0,5.0,rocky_size,1.0,short_period,hot,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube12_cluster1,4,Transit,0.75,0.8112781244591328,0.03963591444724976,0.118592713282614,Transiting Exoplanet Survey Satellite (TESS),0.5,1.5,2022.0,7.25,rocky_size,1.0,intermediate_period,warm,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube13_cluster0,659,Transit,0.9347496206373292,0.42572015503639016,0.0596943987850884,0.20206017973122747,Kepler,0.7268588770864947,1.5008252215554307,2016.0,4.0,rocky_size,1.0,short_period,hot,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube19_cluster0,4,Transit,0.75,0.8112781244591328,0.03963591444724976,0.118592713282614,Transiting Exoplanet Survey Satellite (TESS),0.5,1.5,2022.0,7.25,rocky_size,1.0,intermediate_period,warm,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube1_cluster0,5,Transit,1.0,-0.0,0.1445587314591173,0.4359638356008698,Kepler,1.0,-0.0,2016.0,8.0,rocky_size,1.0,short_period,hot,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube20_cluster0,166,Transit,0.9337349397590361,0.4092044444162764,0.07017987896599465,0.23047430697515767,Kepler,0.5,1.918301584517037,2016.5,7.0,rocky_size,0.7590361445783133,short_period,hot,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube20_cluster1,4,Transit,0.75,0.8112781244591328,0.03963591444724976,0.118592713282614,Transiting Exoplanet Survey Satellite (TESS),0.5,1.5,2022.0,7.25,rocky_size,1.0,intermediate_period,warm,0.0,0.0
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,cube20_cluster2,4,Transit,1.0,-0.0,0.1445587314591173,0.4359638356008698,Transiting Exoplanet Survey Satellite (TESS),0.5,1.5,2020.5,8.25,rocky_size,1.0,short_period,warm,0.0,0.0
