config_id,feature_space,lens,n_cubes,overlap,graph_path,node_csv_path,edge_csv_path,config_json_path,has_graph,has_nodes,has_edges,has_config,graph_mtime,nodes_mtime,edges_mtime,config_mtime,appears_in_mapper_graph_metrics,appears_in_main_graph_selection,graph_parse_error,node_csv_parse_error,config_parse_error
joint_density_cubes10_overlap0p35,joint,density,10,0.35,outputs/mapper/graphs/graph_joint_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
joint_domain_cubes10_overlap0p35,joint,domain,10,0.35,outputs/mapper/graphs/graph_joint_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
joint_no_density_density_cubes10_overlap0p35,joint_no_density,density,10,0.35,outputs/mapper/graphs/graph_joint_no_density_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
joint_no_density_domain_cubes10_overlap0p35,joint_no_density,domain,10,0.35,outputs/mapper/graphs/graph_joint_no_density_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
joint_no_density_pca2_cubes10_overlap0p35,joint_no_density,pca2,10,0.35,outputs/mapper/graphs/graph_joint_no_density_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_no_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_no_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_no_density_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,True,,,
joint_pca2_cubes10_overlap0p35,joint,pca2,10,0.35,outputs/mapper/graphs/graph_joint_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_joint_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_joint_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_joint_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,True,,,
orb_thermal_density_cubes10_overlap0p35,orb_thermal,density,10,0.35,outputs/mapper/graphs/graph_orb_thermal_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
orb_thermal_domain_cubes10_overlap0p35,orb_thermal,domain,10,0.35,outputs/mapper/graphs/graph_orb_thermal_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
orb_thermal_pca2_cubes10_overlap0p35,orb_thermal,pca2,10,0.35,outputs/mapper/graphs/graph_orb_thermal_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orb_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orb_thermal_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_orb_thermal_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,False,,,
orbital_density_cubes10_overlap0p35,orbital,density,10,0.35,outputs/mapper/graphs/graph_orbital_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
orbital_domain_cubes10_overlap0p35,orbital,domain,10,0.35,outputs/mapper/graphs/graph_orbital_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
orbital_pca2_cubes10_overlap0p35,orbital,pca2,10,0.35,outputs/mapper/graphs/graph_orbital_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_orbital_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_orbital_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_orbital_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,True,,,
phys_density_density_cubes10_overlap0p35,phys_density,density,10,0.35,outputs/mapper/graphs/graph_phys_density_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
phys_density_domain_cubes10_overlap0p35,phys_density,domain,10,0.35,outputs/mapper/graphs/graph_phys_density_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
phys_density_pca2_cubes10_overlap0p35,phys_density,pca2,10,0.35,outputs/mapper/graphs/graph_phys_density_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_density_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_density_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,True,,,
phys_min_density_cubes10_overlap0p35,phys_min,density,10,0.35,outputs/mapper/graphs/graph_phys_min_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
phys_min_domain_cubes10_overlap0p35,phys_min,domain,10,0.35,outputs/mapper/graphs/graph_phys_min_domain_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_domain_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_domain_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_domain_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
phys_min_pca2_cubes10_overlap0p35,phys_min,pca2,10,0.35,outputs/mapper/graphs/graph_phys_min_pca2_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_phys_min_pca2_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_phys_min_pca2_cubes10_overlap0p35.csv,outputs/mapper/config/config_phys_min_pca2_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,True,True,,,
thermal_density_cubes10_overlap0p35,thermal,density,10,0.35,outputs/mapper/graphs/graph_thermal_density_cubes10_overlap0p35.json,outputs/mapper/nodes/nodes_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/edges/edges_thermal_density_cubes10_overlap0p35.csv,outputs/mapper/config/config_thermal_density_cubes10_overlap0p35.json,True,True,True,True,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,2026-04-27T11:14:33,False,False,,,
