config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
joint_pca2_cubes10_overlap0p35,cube1_cluster0,TOI-1518 b,TOI-1518 b,TOI-1518,5349,cube1,0
joint_pca2_cubes10_overlap0p35,cube1_cluster0,WASP-12 b,WASP-12 b,WASP-12,6027,cube1,0
joint_pca2_cubes10_overlap0p35,cube1_cluster0,WASP-121 b,WASP-121 b,WASP-121,6029,cube1,0
joint_pca2_cubes10_overlap0p35,cube1_cluster0,WASP-78 b,WASP-78 b,WASP-78,6172,cube1,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,HAT-P-23 b,HAT-P-23 b,HAT-P-23,391,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,HATS-18 b,HATS-18 b,HATS-18,454,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,HATS-24 b,HATS-24 b,HATS-24,458,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,Kepler-76 b,Kepler-76 b,Kepler-76,4566,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,OGLE-TR-132 b,OGLE-TR-132 b,OGLE-TR-132,5116,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,OGLE-TR-56 b,OGLE-TR-56 b,OGLE-TR-56,5119,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,TOI-1431 b,TOI-1431 b,TOI-1431,5323,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,TOI-1937 A b,TOI-1937 A b,TOI-1937 A,5439,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,WASP-114 b,WASP-114 b,WASP-114,6022,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,WASP-72 b,WASP-72 b,WASP-72,6166,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster0,WASP-87 b,WASP-87 b,WASP-87,6183,cube2,0
joint_pca2_cubes10_overlap0p35,cube2_cluster1,CoRoT-1 b,CoRoT-1 b,CoRoT-1,103,cube2,1
