config_id,node_id,member_id,pl_name,hostname,row_index,cube_id,cluster_id
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,2MASS J02192210-3925225 b,2MASS J02192210-3925225 b,2MASS J02192210-3925225,14,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,AB Aur b,AB Aur b,AB Aur,50,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,BD-210397 b,BD-210397 b,BD-210397,86,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,141,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 1151 c,GJ 1151 c,GJ 1151,220,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 179 b,GJ 179 b,GJ 179,232,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 317 c,GJ 317 c,GJ 317,256,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 3512 b,GJ 3512 b,GJ 3512,272,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 676 A c,GJ 676 A c,GJ 676 A,321,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 832 b,GJ 832 b,GJ 832,335,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 849 c,GJ 849 c,GJ 849,337,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 9714 b,GJ 9714 b,GJ 9714,353,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,GJ 9773 b,GJ 9773 b,GJ 9773,354,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,HD 105618 c,HD 105618 c,HD 105618,550,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,HD 153557 d,HD 153557 d,HD 153557,743,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,HD 18143 c,HD 18143 c,HD 18143,843,cube11,0
thermal_pca2_cubes10_overlap0p35,cube11_cluster0,HD 222237 b,HD 222237 b,HD 222237,995,cube11,0
