config_id,node_id,Astrometry,Eclipse Timing Variations,Imaging,Microlensing,Orbital Brightness Modulation,Pulsar Timing,Pulsation Timing Variations,Radial Velocity,Transit,Transit Timing Variations,Disk Kinematics
orbital_pca2_cubes10_overlap0p35,cube0_cluster0,0,0,0,0,1,0,0,0,35,0,
orbital_pca2_cubes10_overlap0p35,cube0_cluster1,0,0,0,0,0,0,0,0,12,0,
orbital_pca2_cubes10_overlap0p35,cube0_cluster2,0,0,0,0,0,0,0,0,5,0,
orbital_pca2_cubes10_overlap0p35,cube0_cluster3,0,0,0,0,0,0,0,0,8,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster0,0,0,0,0,0,0,0,1,109,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster1,0,0,0,0,2,0,0,1,156,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster2,0,0,0,0,0,0,0,0,17,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster3,0,0,0,0,0,0,0,0,5,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster4,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube1_cluster5,0,0,0,0,0,0,0,0,3,0,
orbital_pca2_cubes10_overlap0p35,cube2_cluster0,0,0,0,0,0,0,0,0,19,0,
orbital_pca2_cubes10_overlap0p35,cube2_cluster1,0,0,0,0,0,0,0,0,8,0,
orbital_pca2_cubes10_overlap0p35,cube2_cluster2,0,0,0,0,0,0,0,1,6,0,
orbital_pca2_cubes10_overlap0p35,cube2_cluster3,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube5_cluster0,0,0,0,0,3,0,0,36,656,2,
orbital_pca2_cubes10_overlap0p35,cube5_cluster1,0,0,0,0,0,0,0,0,12,0,
orbital_pca2_cubes10_overlap0p35,cube5_cluster2,0,0,0,0,0,0,0,0,5,0,
orbital_pca2_cubes10_overlap0p35,cube5_cluster3,0,0,0,0,0,0,0,0,8,0,
orbital_pca2_cubes10_overlap0p35,cube6_cluster0,0,0,0,2,4,0,0,218,3078,14,
orbital_pca2_cubes10_overlap0p35,cube6_cluster1,0,0,0,0,0,0,0,1,109,0,
orbital_pca2_cubes10_overlap0p35,cube6_cluster2,0,0,0,0,0,0,0,0,12,0,
orbital_pca2_cubes10_overlap0p35,cube6_cluster3,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube6_cluster4,0,0,0,0,0,0,0,0,3,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster0,0,0,0,0,0,0,0,54,405,4,
orbital_pca2_cubes10_overlap0p35,cube7_cluster1,0,0,0,0,0,0,0,2,4,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster2,0,0,0,0,0,0,0,3,3,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster3,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster4,0,0,0,0,0,0,0,0,19,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster5,0,0,0,0,0,0,0,1,6,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster6,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster7,0,0,0,0,0,0,0,1,3,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster8,0,0,0,0,0,0,0,0,4,0,
orbital_pca2_cubes10_overlap0p35,cube7_cluster9,0,0,0,0,0,0,0,1,3,0,
orbital_pca2_cubes10_overlap0p35,cube8_cluster0,0,0,0,0,0,0,0,2,4,0,
orbital_pca2_cubes10_overlap0p35,cube8_cluster1,0,0,0,0,0,0,0,0,4,0,
