config_id,node_id,n_members,top_method,top_method_fraction,enriched_method,z_score,fdr_q_value,mean_imputation_fraction,component_id,degree
joint_no_density_pca2_cubes10_overlap0p35,cube61_cluster0,10,Imaging,1.0,Imaging,45.48858476674701,0.011060368203225346,0.5,7,1
joint_no_density_pca2_cubes10_overlap0p35,cube38_cluster1,7,Radial Velocity,1.0,Radial Velocity,5.289701426516391,0.011060368203225346,0.3333333333333333,0,1
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster1,6,Transit,1.0,Transit,1.4549572751500126,1.0,0.0277777777777777,0,1
joint_no_density_pca2_cubes10_overlap0p35,cube15_cluster1,4,Transit,1.0,Transit,1.1568406738294292,1.0,0.0,0,1
joint_no_density_pca2_cubes10_overlap0p35,cube5_cluster2,4,Transit,1.0,Transit,1.1566413337921004,1.0,0.0,1,0
joint_no_density_pca2_cubes10_overlap0p35,cube26_cluster1,4,Radial Velocity,1.0,Radial Velocity,4.112799422268961,0.020646020646020648,0.25,4,1
joint_no_density_pca2_cubes10_overlap0p35,cube27_cluster1,4,Radial Velocity,1.0,Radial Velocity,4.112799422268961,0.020646020646020648,0.25,4,1
joint_no_density_pca2_cubes10_overlap0p35,cube62_cluster0,4,Imaging,1.0,Imaging,30.81123360999887,0.011060368203225346,0.5,7,1
joint_no_density_pca2_cubes10_overlap0p35,cube61_cluster1,4,Imaging,1.0,Imaging,25.423171812171944,0.011060368203225346,0.5,8,1
joint_no_density_pca2_cubes10_overlap0p35,cube68_cluster0,4,Imaging,1.0,Imaging,25.423171812171944,0.011060368203225346,0.5,8,1
joint_no_density_pca2_cubes10_overlap0p35,cube13_cluster1,3,Transit,1.0,Transit,0.9590645250405244,1.0,0.0,2,1
joint_no_density_pca2_cubes10_overlap0p35,cube22_cluster1,3,Transit,1.0,Transit,0.9590645250405244,1.0,0.0,2,1
joint_pca2_cubes10_overlap0p35,cube61_cluster0,8,Imaging,1.0,Imaging,43.263785701151114,0.010171646535282899,0.4285714285714285,6,1
joint_pca2_cubes10_overlap0p35,cube31_cluster1,5,Radial Velocity,1.0,Radial Velocity,4.707128633927863,0.010171646535282899,0.2857142857142857,1,1
joint_pca2_cubes10_overlap0p35,cube62_cluster0,5,Imaging,1.0,Imaging,36.48423442466253,0.010171646535282899,0.4285714285714285,6,1
joint_pca2_cubes10_overlap0p35,cube11_cluster1,4,Transit,1.0,Transit,1.2142601102745667,1.0,0.0,0,1
joint_pca2_cubes10_overlap0p35,cube1_cluster0,4,Transit,1.0,Transit,1.2142601102745667,1.0,0.0,0,1
joint_pca2_cubes10_overlap0p35,cube16_cluster1,4,Transit,1.0,Transit,1.1717987182712302,1.0,0.0,2,1
joint_pca2_cubes10_overlap0p35,cube25_cluster1,4,Transit,1.0,Transit,1.1717987182712302,1.0,0.0,2,1
joint_pca2_cubes10_overlap0p35,cube16_cluster3,6,Transit,0.8333333333333334,Transit,0.5196658233433898,1.0,0.0238095238095238,4,1
joint_pca2_cubes10_overlap0p35,cube25_cluster3,6,Transit,0.8333333333333334,Transit,0.5196658233433898,1.0,0.0238095238095238,4,1
orbital_pca2_cubes10_overlap0p35,cube1_cluster2,17,Transit,1.0,Transit,2.238162463132863,0.13464796073491725,0.0,2,1
orbital_pca2_cubes10_overlap0p35,cube6_cluster2,12,Transit,1.0,Transit,1.863211705378938,0.5215836794784163,0.0,2,1
orbital_pca2_cubes10_overlap0p35,cube32_cluster2,7,Radial Velocity,1.0,Radial Velocity,6.0386833500194825,0.02099595319934303,0.0,21,1
orbital_pca2_cubes10_overlap0p35,cube26_cluster14,6,Radial Velocity,1.0,Radial Velocity,5.242858936384276,0.02099595319934303,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube33_cluster2,6,Radial Velocity,1.0,Radial Velocity,5.557791500736636,0.02099595319934303,0.0,21,1
orbital_pca2_cubes10_overlap0p35,cube17_cluster10,5,Radial Velocity,1.0,Radial Velocity,4.758439615163896,0.02099595319934303,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube26_cluster7,5,Radial Velocity,1.0,Radial Velocity,4.87708349150095,0.02099595319934303,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube1_cluster3,5,Transit,1.0,Transit,1.1892873412575973,1.0,0.0,3,0
orbital_pca2_cubes10_overlap0p35,cube33_cluster3,5,Radial Velocity,1.0,Radial Velocity,4.878971321590208,0.02099595319934303,0.0,22,1
orbital_pca2_cubes10_overlap0p35,cube11_cluster5,4,Transit,1.0,Transit,1.1050102532315005,1.0,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube17_cluster1,4,Radial Velocity,1.0,Radial Velocity,4.09852843855403,0.050907996113475566,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube26_cluster13,4,Radial Velocity,1.0,Radial Velocity,4.2610232625644695,0.02099595319934303,0.0,0,1
orbital_pca2_cubes10_overlap0p35,cube1_cluster4,4,Transit,1.0,Transit,1.081257722186014,1.0,0.0,4,1
orbital_pca2_cubes10_overlap0p35,cube6_cluster3,4,Transit,1.0,Transit,1.081257722186014,1.0,0.0,4,1
orbital_pca2_cubes10_overlap0p35,cube7_cluster3,4,Transit,1.0,Transit,1.075433484143394,1.0,0.0,8,0
orbital_pca2_cubes10_overlap0p35,cube7_cluster8,4,Transit,1.0,Transit,1.093397754974889,1.0,0.0,10,1
orbital_pca2_cubes10_overlap0p35,cube8_cluster1,4,Transit,1.0,Transit,1.093397754974889,1.0,0.0,10,1
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,12,Radial Velocity,0.9166666666666666,Radial Velocity,7.050522741633687,0.02099595319934303,0.0,0,1
