hostname,candidate_id,inner_planet,outer_planet,candidate_rank_in_gap,candidate_period_days,candidate_semimajor_au,candidate_position_method,gap_period_ratio,gap_log_width,expected_missing_count,candidate_mass_median,candidate_mass_q16,candidate_mass_q84,candidate_radius_median,candidate_radius_q16,candidate_radius_q84,dominant_discoverymethod_system,inner_discoverymethod,outer_discoverymethod,gap_score,topology_score,analog_support_score,missing_detectability_score,data_quality_score,candidate_priority_score,candidate_priority_class,gap_shadow_score,gap_TOI_score,gap_ATI_score,transit_probability_proxy,transit_depth_proxy,rv_K_proxy,likely_missing_due_to,interpretation,analog_support_count,validation_error_if_available
WASP-132,WASP-132::WASP-132 b::WASP-132 d::3,WASP-132 b,WASP-132 d,3,198.09661362217898,0.6145400890503119,kepler,254.65701599844934,2.4059556458270897,4,9.85,5.844000000000001,65.26504,3.11,2.2852,9.4656,Transit,Transit,Radial Velocity,0.9751908396946565,1.0,1.0,0.9174560382650565,0.9192307692307693,0.9720987345712324,high,0.1975304009906056,0.0766674525511436,,0.005736088373742216,0.00141489418036068,1.9789092469152136,long_period,"Intervalo orbital prioritario entre WASP-132 b y WASP-132 d en WASP-132; gap_ratio=254.66, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.19746664467772723
HD 27894,HD 27894::HD 27894 c::HD 27894 d::2,HD 27894 c,HD 27894 d,2,259.7486730493257,0.7426834536054097,kepler,139.1611433324093,2.1435179882051614,4,12.6,6.116800000000001,204.92304369599992,3.6,2.2342427592,12.891999999999998,Radial Velocity,Radial Velocity,Radial Velocity,0.9650127226463104,1.0,1.0,0.9271734154318766,0.9192307692307693,0.9705029060317516,high,0.0854837489037139,0.0766674525511436,,0.00558398825281139,0.0013697578584140537,2.272633582913247,weak_RV_signal,"Intervalo orbital prioritario entre HD 27894 c y HD 27894 d en HD 27894; gap_ratio=139.16, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.18757875176368533
WASP-132,WASP-132::WASP-132 b::WASP-132 d::2,WASP-132 b,WASP-132 d,2,65.41629185522396,0.29360005520464366,kepler,254.65701599844934,2.4059556458270897,4,9.96,5.099200000000001,25.996,3.13,2.1075999999999997,5.019066037199998,Transit,Transit,Radial Velocity,0.9751908396946565,1.0,1.0,0.8555544224529155,0.9192307692307693,0.9628134921994111,high,0.1975304009906056,0.0766674525511436,,0.012006320153935199,0.0014331506907057977,2.8949830735739517,long_period,"Intervalo orbital prioritario entre WASP-132 b y WASP-132 d en WASP-132; gap_ratio=254.66, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.19746664467772723
HD 153557,HD 153557::HD 153557 c::HD 153557 d::1,HD 153557 c,HD 153557 d,1,73.94305101922701,0.3187232840209131,kepler,2662.3555249512424,3.425266049716704,4,8.4,4.6488000000000005,22.283999999999995,2.83,2.062,4.4554185928,Radial Velocity,Radial Velocity,Radial Velocity,0.9949109414758269,1.0,1.0,0.75951030909386,0.9192307692307693,0.9543229057299039,high,0.0854837489037139,0.0766674525511436,,0.0108727399412169,0.0012122789789704728,2.3418663325718927,weak_RV_signal,"Intervalo orbital prioritario entre HD 153557 c y HD 153557 d en HD 153557; gap_ratio=2662.36, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.428590003745001
TOI-4010,TOI-4010::TOI-4010 d::TOI-4010 e::3,TOI-4010 d,TOI-4010 e,3,157.11027490760617,0.5460559370001158,kepler,51.80551042025014,1.714375957000575,4,9.44,5.782400000000001,41.335719999999995,3.03,2.272,7.786,Transit,Transit,Radial Velocity,0.9465648854961832,1.0,1.0,0.849222066053863,0.9192307692307693,0.9532758524800113,high,0.2398518871206464,0.0766674525511436,,0.00706867161120012,0.0011201357692054896,1.9050893535932707,long_period,"Intervalo orbital prioritario entre TOI-4010 d y TOI-4010 e en TOI-4010; gap_ratio=51.81, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.046206343697764884
KOI-142,KOI-142::KOI-142 c::Kepler-88 d::3,KOI-142 c,Kepler-88 d,3,267.474915025978,0.8097301069398658,kepler,63.01392504441962,1.799436532020178,4,44.81200000000001,8.775200000000002,549.0693320000005,7.59,2.9752,13.400000000000002,Transit,Transit Timing Variations,Radial Velocity,0.9529262086513995,1.0,1.0,0.7968564898268786,0.9192307692307693,0.9473294129925287,high,0.1564580961262041,0.0766674525511436,,0.005151681472935269,0.006017834769011704,7.00180231267323,long_period,"Intervalo orbital prioritario entre KOI-142 c y Kepler-88 d en KOI-142; gap_ratio=63.01, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.11225617568272139
HD 27894,HD 27894::HD 27894 c::HD 27894 d::1,HD 27894 c,HD 27894 d,1,96.79429031140825,0.38459297742430276,kepler,139.1611433324093,2.1435179882051614,4,8.41,4.978400000000001,17.459999999999994,2.81,2.1916,4.31752,Radial Velocity,Radial Velocity,Radial Velocity,0.9650127226463104,1.0,1.0,0.7568362830944689,0.9192307692307693,0.9449523361811405,high,0.0854837489037139,0.0766674525511436,,0.010783180983345587,0.0008345482273011736,2.107929442480243,weak_RV_signal,"Intervalo orbital prioritario entre HD 27894 c y HD 27894 d en HD 27894; gap_ratio=139.16, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.18757875176368533
WASP-47,WASP-47::WASP-47 d::WASP-47 c::2,WASP-47 d,WASP-47 c,2,48.04423224184123,0.26354973139520704,kepler,65.28652175554822,1.8148235314837593,4,9.28,5.155200000000001,34.943999999999996,2.89,2.0432,7.324,Transit,Transit,Radial Velocity,0.9535623409669212,1.0,1.0,0.8092283045677493,0.8692307692307693,0.9443760248983155,high,0.1564580961262041,0.0766674525511436,,0.020398212100389064,0.0005253171879974062,2.4585390562800282,long_period,"Intervalo orbital prioritario entre WASP-47 d y WASP-47 c en WASP-47; gap_ratio=65.29, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.05482911260551343
KOI-142,KOI-142::KOI-142 c::Kepler-88 d::2,KOI-142 c,Kepler-88 d,2,116.78733595248015,0.46603165433584254,kepler,63.01392504441962,1.799436532020178,4,22.9,7.504,535.0906239999999,4.3,2.6488,11.3605345248,Transit,Transit Timing Variations,Radial Velocity,0.9529262086513995,1.0,1.0,0.7574252303922122,0.9192307692307693,0.9414147240773287,high,0.1564580961262041,0.0766674525511436,,0.008951047747915119,0.0019314951348686452,4.7164304582560055,shallow_transit_depth,"Intervalo orbital prioritario entre KOI-142 c y Kepler-88 d en KOI-142; gap_ratio=63.01, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con shallow transit depth. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.11225617568272139
TOI-4010,TOI-4010::TOI-4010 d::TOI-4010 e::2,TOI-4010 d,TOI-4010 e,2,71.33939092520414,0.3225920589355529,kepler,51.80551042025014,1.714375957000575,4,12.999999999999998,6.0527999999999995,101.19543999999998,3.3189999999999995,2.2172,10.068799999999998,Transit,Transit,Radial Velocity,0.9465648854961832,1.0,1.0,0.7580851217199814,0.9192307692307693,0.9396053108299292,high,0.2398518871206464,0.0766674525511436,,0.011965235947643475,0.0013440019955689344,3.413331262935818,long_period,"Intervalo orbital prioritario entre TOI-4010 d y TOI-4010 e en TOI-4010; gap_ratio=51.81, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.046206343697764884
WASP-8,WASP-8::WASP-8 b::WASP-8 c::2,WASP-8 b,WASP-8 c,2,100.29685416542746,0.44769307674814146,kepler,529.8625274552872,2.7241632067480697,4,12.900000000000002,5.6655999999999995,376.18278194199996,3.49,2.4335145432,12.911999999999999,Mixed,Transit,Radial Velocity,0.9821882951653944,1.0,1.0,0.6794900443752454,0.9192307692307693,0.938503072128982,high,0.0901588499617182,0.0766674525511436,,0.010335691772609503,0.0010340613025371613,2.4724601403977804,weak_RV_signal,"Intervalo orbital prioritario entre WASP-8 b y WASP-8 c en WASP-8; gap_ratio=529.86, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HIP 57274,HIP 57274::HIP 57274 c::HIP 57274 d::2,HIP 57274 c,HIP 57274 d,2,181.40127921922019,0.5646868840482593,kepler,13.477989384951615,1.1296251099924461,2,10.2,6.356800000000002,87.54399999999993,3.11,2.0916,9.4656,Radial Velocity,Radial Velocity,Radial Velocity,0.8810432569974554,1.0,1.0,0.8748226410432276,0.9192307692307693,0.9374594501787978,high,0.119694559430695,0.0766674525511436,,0.005600129362540218,0.001758103935650419,2.222481476096061,weak_RV_signal,"Intervalo orbital prioritario entre HIP 57274 c y HIP 57274 d en HIP 57274; gap_ratio=13.48, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.16398525075511383
HAT-P-17,HAT-P-17::HAT-P-17 b::HAT-P-17 c::2,HAT-P-17 b,HAT-P-17 c,2,128.07170379864175,0.48967706740615047,kepler,540.1159933917038,2.7324870373791867,4,14.400000000000004,7.7096,297.50903999999963,3.68,2.6908000000000003,8.956393647199999,Mixed,Transit,Radial Velocity,0.9834605597964376,1.0,1.0,0.6650961319379733,0.9192307692307693,0.9367256646527042,high,0.0854837489037139,0.0766674525511436,,0.00811368849947515,0.0015594617728673845,2.9458401834682193,weak_RV_signal,"Intervalo orbital prioritario entre HAT-P-17 b y HAT-P-17 c en HAT-P-17; gap_ratio=540.12, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HATS-59,HATS-59::HATS-59 b::HATS-59 c::3,HATS-59 b,HATS-59 c,3,153.1841454454906,0.5673026952136702,kepler,262.5514647953012,2.419214445592955,4,23.9,8.416,477.58259570079986,6.5,2.9952,12.755999999999998,Mixed,Transit,Radial Velocity,0.9758269720101781,1.0,1.0,0.6771756679413861,0.9192307692307693,0.9362475187173382,high,0.1564580961262041,0.0766674525511436,,0.008492621241972736,0.003308634515420224,4.3570752362031815,weak_RV_signal,"Intervalo orbital prioritario entre HATS-59 b y HATS-59 c en HATS-59; gap_ratio=262.55, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
HAT-P-2,HAT-P-2::HAT-P-2 b::HAT-P-2 c::2,HAT-P-2 b,HAT-P-2 c,2,105.25319316400743,0.47978564597527595,kepler,1508.826867939201,3.178639409018546,4,47.67249999999999,8.51,1228.8249119999994,6.71,2.852,13.400000000000002,Mixed,Transit,Radial Velocity,0.9923664122137404,1.0,1.0,0.6437194591002778,0.903846153846154,0.934652457913779,high,0.0854837489037139,0.0766674525511436,,0.013599009192401357,0.001922521882727747,8.34875545058557,weak_RV_signal,"Intervalo orbital prioritario entre HAT-P-2 b y HAT-P-2 c en HAT-P-2; gap_ratio=1508.83, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
WASP-107,WASP-107::WASP-107 b::WASP-107 c::3,WASP-107 b,WASP-107 c,3,131.72187596052203,0.4461888256791573,kepler,186.31518138744207,2.270248243646496,4,8.96,6.154400000000001,60.61599999999998,2.81,2.2964,9.052,Mixed,Transit,Radial Velocity,0.9720101781170484,1.0,1.0,0.6791509394733422,0.903846153846154,0.9338603097407313,high,0.185155220575032,0.0766674525511436,,0.0068476811030606785,0.00153752963102755,2.27060490381941,shallow_transit_depth,"Intervalo orbital prioritario entre WASP-107 b y WASP-107 c en WASP-107; gap_ratio=186.32, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con shallow transit depth. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,
WASP-132,WASP-132::WASP-132 b::WASP-132 d::1,WASP-132 b,WASP-132 d,1,21.602041356696517,0.14026911173424295,kepler,254.65701599844934,2.4059556458270897,4,7.3,3.3564000000000003,14.409582524799994,2.38,1.6288,3.09,Transit,Transit,Radial Velocity,0.9751908396946565,1.0,1.0,0.6605735186181427,0.9192307692307693,0.9335663566241954,high,0.1975304009906056,0.0766674525511436,,0.02513066644835288,0.0008286232147346527,3.069775344043553,shallow_transit_depth,"Intervalo orbital prioritario entre WASP-132 b y WASP-132 d en WASP-132; gap_ratio=254.66, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con shallow transit depth. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.19746664467772723
WASP-47,WASP-47::WASP-47 d::WASP-47 c::3,WASP-47 d,WASP-47 c,3,110.81689156296436,0.4600860323248529,kepler,65.28652175554822,1.8148235314837593,4,20.000000000000004,7.5775999999999994,211.02358942960004,5.680000000000001,2.6488,11.423494124800001,Transit,Transit,Radial Velocity,0.9535623409669212,1.0,1.0,0.7318342207505673,0.8692307692307693,0.9327669123257383,high,0.1564580961262041,0.0766674525511436,,0.011684647962110287,0.002029189454873328,4.010244906480864,long_period,"Intervalo orbital prioritario entre WASP-47 d y WASP-47 c en WASP-47; gap_ratio=65.29, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",35,0.05482911260551343
