hostname,candidate_id,inner_planet,outer_planet,candidate_rank_in_gap,candidate_fraction,candidate_period_days,candidate_semimajor_au,candidate_position_method,gap_period_ratio,gap_log_width,expected_missing_count,expected_missing_count_heuristic,expected_missing_count_empirical,typical_gap_log_width,typical_gap_source,dominant_discoverymethod_system,dominant_method_group,inner_discoverymethod,outer_discoverymethod,candidate_stellar_mass,candidate_stellar_radius,gap_score,candidate_log_period,inner_planet_TOI_score,inner_planet_shadow_score,inner_planet_TOI_norm,inner_planet_shadow_norm,inner_topology_node_count,inner_planet_ATI_score,inner_planet_ATI_norm,inner_topology_prior_planet,outer_planet_TOI_score,outer_planet_shadow_score,outer_planet_TOI_norm,outer_planet_shadow_norm,outer_topology_node_count,outer_planet_ATI_score,outer_planet_ATI_norm,outer_topology_prior_planet,topology_prior_inner,topology_prior_outer,topology_prior_gap,gap_shadow_score,gap_TOI_score,gap_ATI_score,topology_score,candidate_logP,candidate_loga,candidate_logMstar,logM_candidate_interp,logR_candidate_interp,candidate_mass_median,candidate_mass_q16,candidate_mass_q84,candidate_radius_median,candidate_radius_q16,candidate_radius_q84,analog_support_count,candidate_estimation_method,analog_support_score,observed_period_median,observed_transit_probability_median,observed_transit_depth_median,observed_rv_proxy_median,transit_probability_proxy,transit_depth_proxy,rv_K_proxy,candidate_transit_probability_relative_to_observed_median,candidate_transit_depth_relative_to_observed_median,candidate_RV_proxy_relative_to_observed_median,candidate_period_relative_to_observed_median,missing_detectability_score,likely_missing_due_to,data_quality_score,candidate_priority_score,candidate_priority_class,interpretation,validation_error_if_available
2MASS J19383260+4603591,2MASS J19383260+4603591::Kepler-451 d::2MASS J19383260+4603591 b::1,Kepler-451 d,2MASS J19383260+4603591 b,1,0.3333333333333333,90.88404503977634,0.3097505086515008,kepler,9.441860465116283,0.9750575779976078,2,2,0,0.7430453659290003,method_plus_mass_bin,Eclipse Timing Variations,Mixed,Eclipse Timing Variations,Eclipse Timing Variations,0.48,0.203,0.8555979643765903,1.9584876482454556,0.0766674525511436,0.0854837489037139,1.0,0.15475465805459634,2.0,,,1.0,,,,,,,,,1.0,0.0,1.0,0.0854837489037139,0.0766674525511436,,1.0,1.9584876482454556,-0.5089879717820567,-0.3187587626244128,2.758786415599517,1.1292574451182733,6.39,3.3692,28.431999999999984,2.41,1.6488,5.774399999999998,35,analog_neighbors,1.0,406.0000000000001,0.0010261363152173914,0.37172096391575526,133.0287936410768,0.003047760644881272,0.011846323898595879,2.318341896920011,2.9701323300653195,0.03186886145404665,0.017427369169227366,0.22385232768417812,0.48839801695842244,weak_RV_signal,0.903846153846154,0.8703237072413558,high,"Intervalo orbital prioritario entre Kepler-451 d y 2MASS J19383260+4603591 b en 2MASS J19383260+4603591; gap_ratio=9.44, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.17310572215603015
2MASS J19383260+4603591,2MASS J19383260+4603591::Kepler-451 d::2MASS J19383260+4603591 b::2,Kepler-451 d,2MASS J19383260+4603591 b,2,0.6666666666666666,192.09092192539768,0.510142481040493,kepler,9.441860465116283,0.9750575779976078,2,2,0,0.7430453659290003,method_plus_mass_bin,Eclipse Timing Variations,Mixed,Eclipse Timing Variations,Eclipse Timing Variations,0.48,0.203,0.8555979643765903,2.283506840911325,0.0766674525511436,0.0854837489037139,1.0,0.15475465805459634,2.0,,,1.0,,,,,,,,,1.0,0.0,1.0,0.0854837489037139,0.0766674525511436,,1.0,2.283506840911325,-0.2923085100048104,-0.3187587626244128,2.7698674522252915,1.1281811217415405,20.000000000000004,4.0360000000000005,519.9689688039998,4.72,1.8376000000000001,13.400000000000002,35,analog_neighbors,1.0,406.0000000000001,0.0010261363152173914,0.37172096391575526,133.0287936410768,0.001850552434046491,0.04543949696845412,5.654144332208511,1.8034177395373083,0.122240877914952,0.042503161740035635,0.4731303495699449,0.4628008758949989,weak_RV_signal,0.903846153846154,0.8664841360818423,high,"Intervalo orbital prioritario entre Kepler-451 d y 2MASS J19383260+4603591 b en 2MASS J19383260+4603591; gap_ratio=9.44, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.17310572215603015
55 Cnc,55 Cnc::55 Cnc e::55 Cnc b::1,55 Cnc e,55 Cnc b,1,0.3333333333333333,1.995698867139,0.03117634543979509,kepler,19.89220517240303,1.2986829299882463,2,2,1,0.7103961231399802,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,1.015,0.98,0.9071246819338422,0.3000950107959718,0.002119839151575,0.0262371218562684,0.027649792461291057,0.047498113656398014,2.0,0.0001747538717635,0.025500911396623097,0.047498113656398014,0.0766674525511436,0.0854837489037139,1.0,0.15475465805459634,2.0,,,1.0,0.047498113656398014,1.0,1.0,0.0854837489037139,0.0766674525511436,0.0001747538717635,1.0,0.3000950107959718,-1.5061747951238311,0.006466042249231681,1.4088873717927122,0.5630057814605235,4.62,1.5024000000000004,76.26399999999985,1.99,1.118,6.991421171599995,35,analog_neighbors,1.0,44.3936,0.018451257489878553,0.006337946403413735,15.23246500129271,0.1461832852988158,0.00034657369365906343,3.633286209610535,7.922673312591552,0.05468233266731199,0.2385225378362724,0.044954652633239923,0.4568864772982365,weak_RV_signal,0.9192307692307693,0.8825934530979651,high,"Intervalo orbital prioritario entre 55 Cnc e y 55 Cnc b en 55 Cnc; gap_ratio=19.89, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.04491143898469696
55 Cnc,55 Cnc::55 Cnc e::55 Cnc b::2,55 Cnc e,55 Cnc b,2,0.6666666666666666,5.407410260765142,0.060592854382700685,kepler,19.89220517240303,1.2986829299882463,2,2,1,0.7103961231399802,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,1.015,0.98,0.9071246819338422,0.7329893207920538,0.002119839151575,0.0262371218562684,0.027649792461291057,0.047498113656398014,2.0,0.0001747538717635,0.025500911396623097,0.047498113656398014,0.0766674525511436,0.0854837489037139,1.0,0.15475465805459634,2.0,,,1.0,0.047498113656398014,1.0,1.0,0.0854837489037139,0.0766674525511436,0.0001747538717635,1.0,0.7329893207920538,-1.2175785884597765,0.006466042249231681,1.915227964271433,0.8530102908573094,9.59,2.0884,102.24864319999983,2.42763557,1.2476,8.802176319199994,35,analog_neighbors,1.0,44.3936,0.018451257489878553,0.006337946403413735,15.23246500129271,0.07521448933921092,0.0005157704143629366,5.409761748384255,4.07638825594786,0.08137815966464045,0.3551468359142892,0.12180607701932582,0.3869118984514265,weak_RV_signal,0.9192307692307693,0.8720972662709436,high,"Intervalo orbital prioritario entre 55 Cnc e y 55 Cnc b en 55 Cnc; gap_ratio=19.89, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.04491143898469696
55 Cnc,55 Cnc::55 Cnc c::55 Cnc f::1,55 Cnc c,55 Cnc f,1,0.5,107.55502911533239,0.4448179925310847,kepler,5.869765011172781,0.7686207151498712,1,1,0,0.7103961231399802,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,1.015,0.98,0.8078880407124682,2.031630722170937,0.0766674525511436,0.0854837489037139,1.0,0.15475465805459634,1.0,,,1.0,0.0309282146843902,0.119694559430695,0.4034073606887942,0.21668786001134313,1.0,,,0.4034073606887942,1.0,0.4034073606887942,1.0,0.119694559430695,0.0766674525511436,,1.0,2.031630722170937,-0.35181765420718764,0.006466042249231681,1.693790999638701,0.9050856679900341,18.2,7.504,270.3252559999999,4.465,2.6488,11.6304383736,35,analog_neighbors,1.0,44.3936,0.018451257489878553,0.006337946403413735,15.23246500129271,0.010245675032314518,0.001744746631617424,3.7892255100709202,0.5552832937231942,0.27528579772742656,0.24875983695018147,2.422759792297367,0.6044682408598654,weak_RV_signal,0.9192307692307693,0.8749597252657972,high,"Intervalo orbital prioritario entre 55 Cnc c y 55 Cnc f en 55 Cnc; gap_ratio=5.87, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.04491143898469696
55 Cnc,55 Cnc::55 Cnc f::55 Cnc d::1,55 Cnc f,55 Cnc d,1,0.3333333333333333,688.1413204488804,1.5330169451099918,kepler,18.416609102770735,1.2652096701865485,2,2,1,0.7103961231399802,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,1.015,0.98,0.9020356234096693,2.837677636474722,0.0309282146843902,0.119694559430695,0.4034073606887942,0.21668786001134313,1.0,,,0.4034073606887942,0.0139415068092533,0.0825969080682584,0.1818438769692152,0.14952849434420307,4.0,,,0.1818438769692152,0.4034073606887942,0.1818438769692152,0.4034073606887942,0.119694559430695,0.0309282146843902,,0.4034073606887942,2.837677636474722,0.18554695532866902,0.006466042249231681,2.13119103865384,0.9581423013659325,451.3185999999999,103.28179950560003,1362.0794247191998,13.5,9.37827856134753,13.956000000000001,35,analog_neighbors,1.0,44.3936,0.018451257489878553,0.006337946403413735,15.23246500129271,0.002972870335541535,0.0159498638088342,50.615087499099324,0.1611202020877062,2.516566533324313,3.3228428553621394,15.500912754290717,0.4,long_period,0.9192307692307693,0.7233856041181763,high,"Intervalo orbital prioritario entre 55 Cnc f y 55 Cnc d en 55 Cnc; gap_ratio=18.42, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.04491143898469696
55 Cnc,55 Cnc::55 Cnc f::55 Cnc d::2,55 Cnc f,55 Cnc d,2,0.6666666666666666,1817.2479734021383,2.928900780851537,kepler,18.416609102770735,1.2652096701865485,2,2,1,0.7103961231399802,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,1.015,0.98,0.9020356234096693,3.259414193203572,0.0309282146843902,0.119694559430695,0.4034073606887942,0.21668786001134313,1.0,,,0.4034073606887942,0.0139415068092533,0.0825969080682584,0.1818438769692152,0.14952849434420307,4.0,,,0.1818438769692152,0.4034073606887942,0.1818438769692152,0.4034073606887942,0.119694559430695,0.0309282146843902,,0.4034073606887942,3.259414193203572,0.4667046598145689,0.006466042249231681,2.610987750007433,1.0360428268363846,965.1469965599998,247.20817400000004,3651.238165888799,12.900000000000002,12.300000000000004,13.8,35,analog_neighbors,1.0,44.3936,0.018451257489878553,0.006337946403413735,15.23246500129271,0.0015560310645535021,0.014563604040757749,78.30894462061302,0.08433197929230914,2.2978427259835335,5.140923981375785,40.93490893737247,0.4,long_period,0.9192307692307693,0.7233856041181763,high,"Intervalo orbital prioritario entre 55 Cnc f y 55 Cnc d en 55 Cnc; gap_ratio=18.42, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con long period. La lectura es de priorizacion observacional y no implica un planeta confirmado.",0.04491143898469696
BD-06 1339,BD-06 1339::BD-06 1339 b::BD-06 1339 c::1,BD-06 1339 b,BD-06 1339 c,1,0.25,9.248253477907232,0.07656183724020602,kepler,32.51910762239206,1.5121386193332107,3,3,2,0.5692695492067185,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,0.7,0.686355,0.933206106870229,0.9660597244661359,0.0412286279306651,0.0592990767055698,0.5377591997485786,0.107351496117235,1.0,,,0.5377591997485786,0.0766674525511436,0.119694559430695,1.0,0.21668786001134313,4.0,0.0005408483067593,0.0789231426491532,1.0,0.5377591997485786,1.0,1.0,0.119694559430695,0.0766674525511436,0.0005408483067593,1.0,0.9660597244661359,-1.1159876534220468,-0.1549019599857432,2.8181011078049774,1.1087502813462582,5.94,3.366400000000001,9.684,2.36,1.784,2.8412,35,analog_neighbors,1.0,64.90639999999999,0.040957059843885764,0.025834480740456217,621.7966072276901,0.0416901350843473,0.0009937290727638347,3.589504566325821,1.0178986295221328,0.0384652233868079,0.00577279535559031,0.14248600258075064,0.5965363227866458,weak_RV_signal,0.8692307692307693,0.9063653574021424,high,"Intervalo orbital prioritario entre BD-06 1339 b y BD-06 1339 c en BD-06 1339; gap_ratio=32.52, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",
BD-06 1339,BD-06 1339::BD-06 1339 b::BD-06 1339 c::2,BD-06 1339 b,BD-06 1339 c,2,0.5,22.08484620729789,0.1367840472633654,kepler,32.51910762239206,1.5121386193332107,3,3,2,0.5692695492067185,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,0.7,0.686355,0.933206106870229,1.3440943792994386,0.0412286279306651,0.0592990767055698,0.5377591997485786,0.107351496117235,1.0,,,0.5377591997485786,0.0766674525511436,0.119694559430695,1.0,0.21668786001134313,4.0,0.0005408483067593,0.0789231426491532,1.0,0.5377591997485786,1.0,1.0,0.119694559430695,0.0766674525511436,0.0005408483067593,1.0,1.3440943792994386,-0.8639645501998447,-0.1549019599857432,2.453492695070248,1.046914860440931,6.53,3.5940000000000003,12.508399999999995,2.39,1.8942400000000001,2.93064,35,analog_neighbors,1.0,64.90639999999999,0.040957059843885764,0.025834480740456217,621.7966072276901,0.023335128625813616,0.0010191539493921112,2.9522266398167116,0.5697461857554987,0.039449368447964935,0.0047478976332459505,0.3402568345694399,0.5971512614200525,weak_RV_signal,0.8692307692307693,0.9064575981971534,high,"Intervalo orbital prioritario entre BD-06 1339 b y BD-06 1339 c en BD-06 1339; gap_ratio=32.52, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",
BD-06 1339,BD-06 1339::BD-06 1339 b::BD-06 1339 c::3,BD-06 1339 b,BD-06 1339 c,3,0.75,52.73865310516657,0.24437600063130654,kepler,32.51910762239206,1.5121386193332107,3,3,2,0.5692695492067185,method_plus_mass_bin,Radial Velocity,Radial Velocity,Radial Velocity,Radial Velocity,0.7,0.686355,0.933206106870229,1.7221290341327413,0.0412286279306651,0.0592990767055698,0.5377591997485786,0.107351496117235,1.0,,,0.5377591997485786,0.0766674525511436,0.119694559430695,1.0,0.21668786001134313,4.0,0.0005408483067593,0.0789231426491532,1.0,0.5377591997485786,1.0,1.0,0.119694559430695,0.0766674525511436,0.0005408483067593,1.0,1.7221290341327413,-0.6119414469776431,-0.1549019599857432,2.0888842823355187,0.9850794395356037,6.94,4.018,15.469999999999997,2.51,1.8328,3.4156,35,analog_neighbors,1.0,64.90639999999999,0.040957059843885764,0.025834480740456217,621.7966072276901,0.013061320786837919,0.0011240650192687871,2.3473855801035395,0.31890279323328347,0.043510261752949676,0.0037751662727293907,0.8125339428032764,0.5977349002363623,weak_RV_signal,0.8692307692307693,0.9065451440196,high,"Intervalo orbital prioritario entre BD-06 1339 b y BD-06 1339 c en BD-06 1339; gap_ratio=32.52, con soporte topologico previo, y candidato a submuestreo intra-sistema posiblemente consistente con weak RV signal. La lectura es de priorizacion observacional y no implica un planeta confirmado.",
