anchor_pl_name,node_id,ATI,TOI,radius_type,radius_value,N_obs,N_exp_neighbors,Delta_N_neighbors,Delta_rel_neighbors,N_exp_analog,Delta_N_analog,Delta_rel_analog,deficit_class_neighbors,deficit_class_analog,formula_check,interpretation_short
HIP 97166 c,cube12_cluster0,0.0068528480823882,0.0766674525511436,r_kNN,0.0356988863056207,10,11.0,1.0,0.0909090909008264,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HIP 97166 c,cube12_cluster0,0.0068528480823882,0.0766674525511436,r_node_median,0.6365837064524409,1617,1144.0,-473.0,-0.413461538461177,,,,overpopulated_reference,undefined_reference,ok,La referencia local contiene mas vecinos observados que el caso ancla.
HIP 97166 c,cube12_cluster0,0.0068528480823882,0.0766674525511436,r_node_q75,0.9576038797297672,2550,1914.0,-636.0,-0.3322884012537448,,,,overpopulated_reference,undefined_reference,ok,La referencia local contiene mas vecinos observados que el caso ancla.
HIP 90988 b,cube17_cluster2,0.0067455387709832,0.0627572653395493,r_kNN,0.1150653412548662,10,11.0,1.0,0.0909090909008264,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HIP 90988 b,cube17_cluster2,0.0067455387709832,0.0627572653395493,r_node_median,0.0929235663269286,8,9.0,1.0,0.1111111110987654,,,,weak_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HIP 90988 b,cube17_cluster2,0.0067455387709832,0.0627572653395493,r_node_q75,0.2448698637589844,62,63.0,1.0,0.0158730158727639,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube19_cluster5,0.0051133340600407,0.0581132674842715,r_kNN,0.1232373880989304,10,11.0,1.0,0.0909090909008264,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube19_cluster5,0.0051133340600407,0.0581132674842715,r_node_median,0.3771971429379755,120,121.0,1.0,0.008264462809849,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube19_cluster5,0.0051133340600407,0.0581132674842715,r_node_q75,0.6724313701506812,293,294.0,1.0,0.0034013605442061,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube26_cluster6,0.0051133340600407,0.0581132674842715,r_kNN,0.1232373880989304,10,11.0,1.0,0.0909090909008264,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube26_cluster6,0.0051133340600407,0.0581132674842715,r_node_median,0.3771971429379755,120,121.0,1.0,0.008264462809849,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 42012 b,cube26_cluster6,0.0051133340600407,0.0581132674842715,r_node_q75,0.6724313701506812,293,294.0,1.0,0.0034013605442061,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 4313 b,cube17_cluster10,0.0050935128729779,0.0343040610223196,r_kNN,0.0967268944594391,10,11.0,1.0,0.0909090909008264,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 4313 b,cube17_cluster10,0.0050935128729779,0.0343040610223196,r_node_median,0.0754587385833811,5,6.0,1.0,0.1666666666388888,,,,weak_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
HD 4313 b,cube17_cluster10,0.0050935128729779,0.0343040610223196,r_node_q75,0.1000753363830075,11,12.0,1.0,0.0833333333263888,,,,no_deficit,undefined_reference,ok,"Usar como priorizacion observacional prudente, no como conteo absoluto."
