config_id,node_id,anchor_pl_name,radius_type,radius_value,N_obs,N_exp_neighbors,delta_N_neighbors,delta_rel_neighbors,N_exp_analog,delta_N_analog,delta_rel_analog,n_analog_nodes,reference_used,warning
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,HIP 97166 c,r_node_median,0.6365837064524409,1617,1144.0,-473.0,-0.41346153846117706,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,HIP 97166 c,r_node_q75,0.9576038797297672,2550,1914.0,-636.0,-0.33228840125374487,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube12_cluster0,HIP 97166 c,r_kNN,0.03569888630562072,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,HIP 90988 b,r_node_median,0.0929235663269286,8,9.0,1.0,0.11111111109876542,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,HIP 90988 b,r_node_q75,0.24486986375898445,62,63.0,1.0,0.01587301587276392,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube17_cluster2,HIP 90988 b,r_kNN,0.11506534125486625,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,HD 42012 b,r_node_median,0.37719714293797557,120,121.0,1.0,0.008264462809849054,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,HD 42012 b,r_node_q75,0.6724313701506812,293,294.0,1.0,0.003401360544206118,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster6,HD 42012 b,r_kNN,0.12323738809893041,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,HD 42012 b,r_node_median,0.37719714293797557,120,121.0,1.0,0.008264462809849054,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,HD 42012 b,r_node_q75,0.6724313701506812,293,294.0,1.0,0.003401360544206118,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster5,HD 42012 b,r_kNN,0.12323738809893041,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,BD-17 63 b,r_node_median,0.5994997306679264,212,213.0,1.0,0.004694835680729132,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,BD-17 63 b,r_node_q75,2.4066647597373017,989,935.0,-54.0,-0.057754010695125396,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube19_cluster4,BD-17 63 b,r_kNN,0.1682846116018199,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,BD-17 63 b,r_node_median,0.5994997306679264,212,213.0,1.0,0.004694835680729132,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,BD-17 63 b,r_node_q75,2.4066647597373017,989,935.0,-54.0,-0.057754010695125396,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster4,BD-17 63 b,r_kNN,0.1682846116018199,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,HD 221585 b,r_node_median,0.6375389211646458,263,215.0,-48.0,-0.22325581395244998,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,HD 221585 b,r_node_q75,0.929899152240152,453,369.0,-84.0,-0.22764227642214732,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube25_cluster0,HD 221585 b,r_kNN,0.14163936211366893,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,24 Sex b,r_node_median,0.19590031126453852,42,43.0,1.0,0.02325581395294754,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,24 Sex b,r_node_q75,0.246846589559748,67,68.0,1.0,0.014705882352724913,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube24_cluster1,24 Sex b,r_kNN,0.10488506986743573,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,HD 167677 b,r_node_median,0.4861285530216295,134,135.0,1.0,0.007407407407352538,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,HD 167677 b,r_node_q75,0.6945302927204386,243,244.0,1.0,0.004098360655720909,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster0,HD 167677 b,r_kNN,0.14013047197726475,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster10,HD 240210 b,r_node_median,0.6635589030737489,238,239.0,1.0,0.0041841004183925355,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster10,HD 240210 b,r_node_q75,1.2350354776200307,545,546.0,1.0,0.0018315018314984772,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube26_cluster10,HD 240210 b,r_kNN,0.16267766172976297,10,11.0,1.0,0.09090909090082644,,,,0,N1,insufficient_analogs
orbital_pca2_cubes10_overlap0p35,cube6_cluster0,GJ 3942 b,r_node_median,0.6403582249055743,1695,1366.0,-329.0,-0.24084919472895985,,,,0,N1,insufficient_analogs
